test_id,description,power_state,expected_theta,detected_theta,theta_error,theta_peak_dps,theta_effective_dps,theta_duration,max_raw_gyro_dps
0,Baseline - no movement,on,0.0,0.01395505602177316,0.01395505602177316,13.11182660521257,0.01395505602177316,1.0,5670.0
2,4.7° theta rotation (power on),on,4.7,0.020326797504115035,4.679673202495885,11.274802569456533,0.020326797504115035,1.0,114030.0
3,10.2° theta rotation (power on),on,10.2,0.20442403034752665,9.995575969652473,13.314632259592898,0.20442403034752665,1.0,114240.0
6,15° theta return to 0 (power on),on,-15.0,0.0822056375343152,15.082205637534315,10.515537299610912,0.0822056375343152,1.0,114100.0
8,5° theta return to 0 (power on),on,-5.0,0.00948241401805383,5.009482414018054,7.2777035012403815,0.00948241401805383,1.0,113960.0
9,4° theta rotation (off→on),off_then_on,4.0,-0.014956603771027588,4.014956603771028,156.83320132413024,0.014956603771027588,1.0,113890.0
10,3° theta rotation (off→on),off_then_on,3.0,0.021526882559102845,2.978473117440897,92.0828339667377,0.021526882559102845,1.0,114030.0
11,1.2° theta rotation (off→on),off_then_on,1.2,-0.01406751522663896,1.214067515226639,20.055130351766586,0.01406751522663896,1.0,114100.0
