test_id,description,expected_theta,detected_theta,theta_error,theta_dps
0,Baseline - no movement,0.0,11.921604591688206,11.921604591688206,0.019660181970189445
2,4.7° theta rotation (power on),4.7,11.939243362564604,7.239243362564603,0.03990381216890052
3,10.2° theta rotation (power on),10.2,11.956792597629246,1.7567925976292464,0.03784772840110998
6,15° theta return to 0 (power on),15.0,11.896120522052296,3.1038794779477037,0.02643734071643422
8,5° theta return to 0 (power on),5.0,11.890042381671492,6.890042381671492,0.02005779824473149
9,4° theta rotation (off→on),4.0,11.877583381921145,7.877583381921145,0.015192847249076399
10,3° theta rotation (off→on),3.0,11.883495819221348,8.883495819221348,0.018132883556926178
11,1.2° theta rotation (off→on),1.2,11.890845628127709,10.69084562812771,0.019887998128819362
