timestamp,bias_x,bias_y,bias_z
13.32,0.398,-0.553,-0.743
13.51,0.398,-0.553,-0.743
13.69,0.398,-0.553,-0.743
13.87,0.398,-0.553,-0.743
14.5,0.398,-0.553,-0.743
14.24,0.393,-0.548,-0.742
14.42,0.393,-0.548,-0.742
14.6,0.393,-0.548,-0.742
14.78,0.393,-0.548,-0.742
14.97,0.393,-0.548,-0.742
15.15,0.398,-0.553,-0.74
15.33,0.398,-0.553,-0.74
15.51,0.398,-0.553,-0.74
15.69,0.398,-0.553,-0.74
15.88,0.398,-0.553,-0.74
16.6,0.397,-0.553,-0.741
16.24,0.397,-0.553,-0.741
16.42,0.397,-0.553,-0.741
16.61,0.397,-0.553,-0.741
16.79,0.397,-0.553,-0.741
16.97,0.397,-0.553,-0.741
17.15,0.399,-0.555,-0.74
17.34,0.399,-0.555,-0.74
17.52,0.399,-0.555,-0.74
17.7,0.399,-0.555,-0.74
17.88,0.399,-0.555,-0.74
18.6,0.392,-0.552,-0.741
18.25,0.392,-0.552,-0.741
18.43,0.392,-0.552,-0.741
18.61,0.392,-0.552,-0.741
18.79,0.392,-0.552,-0.741
18.98,0.396,-0.551,-0.738
19.16,0.396,-0.551,-0.738
19.34,0.396,-0.551,-0.738
19.52,0.396,-0.551,-0.738
19.71,0.396,-0.551,-0.738
19.89,0.396,-0.549,-0.741
20.7,0.396,-0.549,-0.741
20.25,0.396,-0.549,-0.741
20.43,0.396,-0.549,-0.741
20.62,0.396,-0.549,-0.741
20.8,0.396,-0.549,-0.741
20.98,0.404,-0.551,-0.737
21.16,0.404,-0.551,-0.737
21.35,0.404,-0.551,-0.737
21.53,0.404,-0.551,-0.737
22.62,0.412,-0.551,-0.743
22.8,0.412,-0.551,-0.743
22.99,0.412,-0.551,-0.743
23.17,0.412,-0.551,-0.743
23.35,0.412,-0.551,-0.743
23.53,0.412,-0.551,-0.743
23.72,0.412,-0.551,-0.743
23.9,0.412,-0.551,-0.743
24.8,0.412,-0.551,-0.743
24.26,0.412,-0.551,-0.743
24.45,0.412,-0.551,-0.743
27.73,0.409,-0.555,-0.74
27.91,0.409,-0.555,-0.74
28.9,0.409,-0.555,-0.74
28.27,0.409,-0.555,-0.74
28.46,0.409,-0.555,-0.74
28.64,0.408,-0.55,-0.733
28.82,0.408,-0.55,-0.733
29.0,0.408,-0.55,-0.733
29.19,0.408,-0.55,-0.733
29.37,0.408,-0.55,-0.733
29.55,0.403,-0.551,-0.738
29.73,0.403,-0.551,-0.738
29.92,0.403,-0.551,-0.738
30.1,0.403,-0.551,-0.738
30.28,0.403,-0.551,-0.738
30.46,0.406,-0.552,-0.737
30.64,0.406,-0.552,-0.737
30.83,0.406,-0.552,-0.737
31.1,0.406,-0.552,-0.737
31.19,0.406,-0.552,-0.737
31.37,0.404,-0.552,-0.736
31.56,0.404,-0.552,-0.736
31.74,0.404,-0.552,-0.736
31.92,0.404,-0.552,-0.736
32.1,0.404,-0.552,-0.736
32.29,0.404,-0.552,-0.736
32.47,0.4,-0.551,-0.739
32.65,0.4,-0.551,-0.739
33.56,0.399,-0.551,-0.738
33.74,0.399,-0.551,-0.738
33.93,0.399,-0.551,-0.738
34.11,0.399,-0.551,-0.738
34.29,0.399,-0.552,-0.738
34.47,0.399,-0.552,-0.738
34.66,0.399,-0.552,-0.738
34.84,0.399,-0.552,-0.738
35.2,0.399,-0.552,-0.738
35.2,0.399,-0.552,-0.738
35.38,0.401,-0.554,-0.738
35.57,0.401,-0.554,-0.738
35.75,0.401,-0.554,-0.738
35.93,0.401,-0.554,-0.738
36.11,0.401,-0.554,-0.738
36.3,0.4,-0.552,-0.734
36.48,0.4,-0.552,-0.734
36.66,0.4,-0.552,-0.734
36.84,0.4,-0.552,-0.734
37.3,0.4,-0.552,-0.734
37.21,0.404,-0.551,-0.734
37.39,0.404,-0.551,-0.734
37.57,0.404,-0.551,-0.734
37.75,0.404,-0.551,-0.734
37.94,0.404,-0.551,-0.734
38.12,0.409,-0.55,-0.737
38.3,0.409,-0.55,-0.737
38.48,0.409,-0.55,-0.737
38.67,0.409,-0.55,-0.737
38.85,0.409,-0.55,-0.737
39.3,0.409,-0.55,-0.737
39.21,0.407,-0.549,-0.734
39.39,0.407,-0.549,-0.734
39.58,0.407,-0.549,-0.734
39.76,0.407,-0.549,-0.734
39.94,0.407,-0.549,-0.734
40.12,0.397,-0.551,-0.735
40.31,0.397,-0.551,-0.735
