timestamp,pitch,yaw,roll
5644.75,0.217,-0.137,-0.312
5648.94,0.217,-0.15,-0.325
5649.12,0.209,-0.149,-0.324
5649.3,0.209,-0.15,-0.316
5649.49,0.192,-0.15,-0.343
5649.67,0.211,-0.149,-0.313
5649.85,0.198,-0.148,-0.323
5650.3,0.199,-0.148,-0.326
5650.21,0.196,-0.147,-0.329
5650.4,0.216,-0.146,-0.33
5651.49,0.214,-0.151,-0.322
5651.67,0.202,-0.149,-0.315
5651.86,0.216,-0.152,-0.326
5652.4,0.208,-0.151,-0.318
5652.22,0.21,-0.151,-0.328
5652.4,0.212,-0.146,-0.317
5652.59,0.211,-0.144,-0.328
5652.77,0.212,-0.143,-0.322
5652.95,0.218,-0.141,-0.33
5653.13,0.221,-0.142,-0.321
5653.31,0.219,-0.141,-0.323
5653.5,0.233,-0.139,-0.313
5653.68,0.218,-0.14,-0.309
5653.86,0.217,-0.139,-0.31
5654.4,0.214,-0.142,-0.306
5654.41,0.223,-0.142,-0.313
5654.59,0.224,-0.144,-0.331
5654.77,0.224,-0.142,-0.328
5654.96,0.205,-0.142,-0.324
5655.14,0.215,-0.143,-0.323
5655.32,0.206,-0.144,-0.32
5655.5,0.205,-0.146,-0.334
5655.68,0.198,-0.149,-0.32
5655.87,0.204,-0.15,-0.326
5656.5,0.205,-0.149,-0.319
5656.23,0.211,-0.151,-0.314
5656.41,0.214,-0.148,-0.307
5656.6,0.219,-0.145,-0.313
5656.78,0.236,-0.1472294004,0.246
5656.96,0.234,-0.145,-0.306
5657.14,0.212,-0.143,-0.306
5657.33,0.227,-0.145,-0.323
5657.51,0.226,-0.142,-0.314
5657.69,0.24,-0.144,-0.315
5657.87,0.226,-0.147,-0.312
5658.5,0.222,-0.148,-0.325
5658.24,0.227,-0.148,-0.321
5658.42,0.239,-0.146,-0.327
5658.6,0.228,-0.149,-0.324
5658.78,0.222,-0.151,-0.328
5662.25,0.214,-0.141,-0.325
5662.43,0.208,-0.139,-0.324
5662.61,0.196,-0.142,-0.327
5662.79,0.179,-0.142,-0.321
5662.98,0.169,-0.141,-0.334
5663.16,0.158,-0.143,-0.319
5663.34,0.164,-0.144,-0.335
5663.52,0.161,-0.146,-0.316
5663.71,0.167,-0.147,-0.33
5666.44,0.178,-0.154,-0.329
5666.62,0.181,-0.154,-0.337
5666.81,0.196,-0.155,-0.325
5666.99,0.198,-0.152,-0.325
5667.17,0.204,-0.149,-0.328
5667.35,0.196,-0.152,-0.339
5667.53,0.179,-0.146,-0.322
5667.72,0.177,-0.146,-0.334
5667.9,0.18,-0.15,-0.322
5668.8,0.193,-0.153,-0.314
5668.26,0.173,-0.154,-0.324
5668.45,0.188,-0.155,-0.308
5668.63,0.192,-0.154,-0.313
5668.81,0.195,-0.156,-0.319
5668.99,0.198,-0.157,-0.326
5669.18,0.222,-0.156,-0.316
5669.36,0.23,-0.161,-0.32
5669.54,0.228,-0.162,-0.326
5669.72,0.227,-0.159,-0.328
5669.9,0.24,-0.156,-0.314
5670.9,0.248,-0.154,-0.32
5670.27,0.224,-0.157,-0.327
5670.45,0.231,-0.155,-0.32
5670.63,0.226,-0.154,-0.319
5670.82,0.238,-0.151,-0.314
5671.91,0.198,-0.145,-0.305
5672.9,0.17,-0.14,-0.304
5672.27,0.172,-0.141,-0.314
5672.46,0.177,-0.135,-0.314
5672.64,0.182,-0.135,-0.316
5672.82,0.191,-0.133,-0.323
5673.0,0.188,-0.134,-0.317
5673.19,0.183,-0.135,-0.32
5673.37,0.175,-0.138,-0.324
5673.55,0.177,-0.141,-0.323
5673.73,0.208,-0.145,-0.324
5673.91,0.232,-0.147,-0.313
5674.1,0.229,-0.148,-0.314
5674.28,0.22,-0.15,-0.313
5674.46,0.211,-0.149,-0.312
5674.64,0.219,-0.146,-0.315
5674.83,0.194,-0.143,-0.318
5675.1,0.189,-0.142,-0.333
5675.19,0.2,-0.14,-0.319
5675.37,0.184,-0.141,-0.32
5676.1,0.191,-0.146,-0.324
5676.28,0.202,-0.151,-0.33
5676.47,0.219,-0.146,-0.316
5676.65,0.209,-0.145,-0.322
5679.2,0.208,-0.138,-0.321
5679.38,0.203,-0.142,-0.324
5679.57,0.196,-0.141,-0.326
5680.84,0.173,-0.143,-0.327
5681.2,0.187,-0.142,-0.317
5681.21,0.19,-0.14,-0.327
