timestamp,pitch,yaw,roll
58020.62,0.26,179.37,3.887
58020.8,0.251,180.075,3.889
58020.98,0.232,179.924,3.884
58021.16,0.257,179.367,3.889
58021.34,0.247,180.074,3.889
58021.53,0.264,179.924,3.89
58021.71,0.251,179.37,3.888
58027.54,0.256,179.921,3.889
58027.72,0.261,179.372,3.892
58027.91,0.246,180.077,3.884
58028.9,0.26,179.921,3.888
58028.27,0.256,179.373,3.885
58028.45,0.252,180.077,3.893
58028.64,0.26,179.922,3.886
58028.82,0.248,179.371,3.891
58031.55,0.249,179.373,3.89
58031.73,0.239,180.078,3.889
58031.92,0.248,179.921,3.893
58032.1,0.251,179.374,3.887
58032.28,0.255,180.078,3.89
58032.46,0.244,179.922,3.893
58032.65,0.251,179.373,3.885
58032.83,0.244,180.077,3.892
58033.1,0.244,179.921,3.887
58033.19,0.233,179.373,3.89
58033.37,0.244,180.076,3.893
58033.56,0.268,179.922,3.887
58034.47,0.25,180.077,3.893
58034.65,0.246,179.921,3.888
58034.83,0.242,179.373,3.893
58035.2,0.251,180.077,3.89
58036.47,0.254,179.372,3.892
58036.66,0.25,180.075,3.887
58036.84,0.251,179.923,3.896
58037.2,0.262,179.371,3.884
58037.2,0.265,180.075,3.891
58037.38,0.257,179.923,3.89
58037.57,0.257,179.369,3.894
58037.75,0.266,180.077,3.889
58037.93,0.256,179.923,3.892
58042.49,0.259,179.371,3.889
58042.67,0.251,180.077,3.89
58042.85,0.253,179.923,3.893
58043.4,0.254,179.371,3.885
58043.22,0.273,180.076,3.891
58043.4,0.25,179.924,3.889
58043.58,0.252,179.369,3.891
58043.76,0.241,180.075,3.89
58043.95,0.269,179.924,3.89
58044.13,0.244,179.369,3.887
58044.31,0.252,180.075,3.892
58044.49,0.249,179.922,3.889
58044.68,0.25,179.372,3.89
58044.86,0.248,180.076,3.889
58045.4,0.265,179.922,3.891
58045.22,0.243,179.372,3.89
58045.41,0.267,180.077,3.889
58045.59,0.237,179.92,3.891
58045.77,0.274,179.373,3.887
58045.95,0.263,180.079,3.889
58046.13,0.251,179.92,3.891
58046.32,0.268,179.374,3.883
58046.5,0.254,180.08,3.889
58046.68,0.246,179.92,3.887
58047.59,0.26,180.079,3.889
58047.77,0.248,179.921,3.883
58047.96,0.257,179.372,3.895
58048.14,0.258,180.079,3.881
58048.32,0.27,179.92,3.892
58048.5,0.261,179.372,3.886
58048.69,0.253,180.078,3.89
58048.87,0.26,179.921,3.885
58049.5,0.268,179.373,3.889
58049.23,0.265,180.078,3.886
58049.42,0.264,179.92,3.887
58049.6,0.253,179.373,3.887
58049.78,0.251,180.078,3.889
58049.96,0.257,179.92,3.888
58051.42,0.237,180.08,3.889
58051.6,0.27,179.919,3.892
58051.79,0.238,179.374,3.887
58051.97,0.264,180.079,3.89
58052.15,0.242,179.92,3.89
58052.33,0.255,179.374,3.89
58052.51,0.242,180.08,3.891
58052.7,0.245,179.92,3.888
58052.88,0.253,179.372,3.887
58053.6,0.255,180.079,3.89
58053.24,0.255,179.92,3.889
58053.43,0.257,179.374,3.891
58053.61,0.259,180.079,3.885
58054.7,0.239,180.079,3.886
58054.88,0.263,179.918,3.886
58055.7,0.243,179.375,3.891
58055.25,0.262,180.079,3.889
58055.43,0.248,179.919,3.892
58055.61,0.25,179.373,3.886
58055.8,0.236,180.08,3.895
58055.98,0.254,179.919,3.894
58056.16,0.258,179.375,3.888
58056.34,0.255,180.081,3.889
58056.52,0.229,179.918,3.891
58056.71,0.253,179.374,3.892
58056.89,0.228,180.08,3.89
58057.7,0.248,179.919,3.891
58057.25,0.247,179.373,3.892
58057.44,0.258,180.079,3.891
58057.62,0.249,179.92,3.892
58057.8,0.242,179.373,3.888
58057.98,0.241,180.077,3.893
58058.17,0.245,179.921,3.893
