timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
58020.8,-84.0,957.0,-176.0,0.349,-0.839,-0.56
58020.98,-83.0,957.0,-175.0,0.56,-0.769,-0.699
58021.16,-81.0,956.0,-175.0,0.349,-0.699,-0.49
58021.34,-83.0,957.0,-176.0,0.349,-0.699,-0.56
58021.53,-82.0,955.0,-177.0,0.419,-0.769,-0.56
58021.71,-84.0,957.0,-175.0,0.349,-0.839,-0.629
58021.89,-82.0,957.0,-176.0,0.349,-0.769,-0.419
58027.54,-84.0,957.0,-176.0,0.419,-0.839,-0.56
58027.72,-89.0,957.0,-178.0,0.419,-0.629,-0.629
58027.91,-83.0,958.0,-174.0,0.49,-0.839,-0.769
58028.9,-81.0,957.0,-174.0,0.28,-0.56,-0.419
58028.27,-85.0,956.0,-176.0,0.419,-0.839,-0.56
58028.45,-84.0,958.0,-176.0,0.209,-0.839,-0.629
58028.64,-82.0,957.0,-176.0,0.56,-0.699,-0.56
58028.82,-85.0,957.0,-175.0,0.349,-0.56,-0.56
58029.0,-82.0,955.0,-176.0,0.49,-0.839,-0.699
58031.55,-84.0,959.0,-176.0,0.419,-0.699,-0.56
58031.73,-80.0,954.0,-177.0,0.49,-0.699,-0.56
58031.92,-82.0,958.0,-177.0,0.349,-0.769,-0.49
58032.1,-85.0,956.0,-176.0,0.56,-0.769,-0.56
58032.28,-79.0,955.0,-178.0,0.349,-0.91,-0.56
58032.46,-84.0,958.0,-178.0,0.349,-0.699,-0.49
58032.65,-81.0,955.0,-176.0,0.56,-0.91,-0.49
58032.83,-84.0,957.0,-177.0,0.28,-0.769,-0.629
58033.1,-81.0,957.0,-177.0,0.49,-0.699,-0.56
58033.19,-85.0,956.0,-177.0,0.28,-0.769,-0.629
58033.37,-82.0,955.0,-179.0,0.349,-0.839,-0.699
58033.56,-80.0,955.0,-177.0,0.56,-0.629,-0.419
58034.65,-82.0,957.0,-176.0,0.56,-0.699,-0.56
58034.83,-82.0,956.0,-178.0,0.49,-0.839,-0.56
58035.2,-81.0,956.0,-176.0,0.49,-0.769,-0.56
58035.2,-82.0,956.0,-178.0,0.419,-0.769,-0.56
58036.47,-83.0,955.0,-178.0,0.49,-0.839,-0.629
58036.66,-80.0,957.0,-175.0,0.349,-0.839,-0.629
58036.84,-82.0,957.0,-181.0,0.56,-0.699,-0.49
58037.2,-83.0,957.0,-175.0,0.49,-0.91,-0.56
58037.2,-80.0,957.0,-176.0,0.419,-0.769,-0.56
58037.38,-83.0,956.0,-176.0,0.28,-0.629,-0.49
58037.57,-81.0,957.0,-178.0,0.419,-0.699,-0.49
58037.75,-83.0,956.0,-175.0,0.419,-0.629,-0.419
58037.93,-82.0,957.0,-177.0,0.419,-0.699,-0.56
58038.11,-81.0,956.0,-176.0,0.28,-0.839,-0.56
58042.49,-82.0,957.0,-176.0,0.28,-0.769,-0.56
58042.67,-83.0,957.0,-177.0,0.49,-0.769,-0.56
58042.85,-83.0,956.0,-176.0,0.349,-0.629,-0.49
58043.4,-81.0,958.0,-176.0,0.49,-0.839,-0.629
58043.22,-82.0,956.0,-176.0,0.28,-0.629,-0.419
58043.4,-83.0,957.0,-177.0,0.49,-0.839,-0.629
58043.58,-83.0,957.0,-176.0,0.349,-0.699,-0.49
58043.76,-82.0,956.0,-178.0,0.56,-0.769,-0.629
58043.95,-83.0,956.0,-175.0,0.28,-0.839,-0.49
58044.13,-83.0,956.0,-176.0,0.49,-0.769,-0.56
58044.31,-82.0,956.0,-177.0,0.28,-0.769,-0.49
58044.49,-81.0,956.0,-177.0,0.49,-0.699,-0.49
58044.68,-83.0,955.0,-177.0,0.49,-0.839,-0.56
58044.86,-78.0,955.0,-177.0,0.419,-0.839,-0.629
58045.4,-83.0,957.0,-176.0,0.349,-0.699,-0.419
58045.22,-80.0,957.0,-178.0,0.49,-0.699,-0.629
58045.41,-81.0,956.0,-176.0,0.349,-0.839,-0.419
58045.59,-79.0,957.0,-177.0,0.49,-0.56,-0.629
58045.77,-84.0,956.0,-175.0,0.419,-0.699,-0.49
58045.95,-81.0,956.0,-176.0,0.349,-0.699,-0.419
58046.13,-83.0,956.0,-177.0,0.209,-0.839,-0.629
58046.32,-82.0,956.0,-175.0,0.56,-0.699,-0.56
58046.5,-82.0,957.0,-176.0,0.349,-0.769,-0.56
58046.68,-84.0,956.0,-176.0,0.419,-0.699,-0.49
58046.86,-83.0,956.0,-176.0,0.419,-0.769,-0.629
58047.77,-85.0,958.0,-174.0,0.56,-0.839,-0.629
58047.96,-80.0,957.0,-179.0,0.349,-0.839,-0.56
58048.14,-80.0,956.0,-173.0,0.629,-0.699,-0.419
58048.32,-82.0,957.0,-176.0,0.209,-0.769,-0.49
58048.5,-82.0,956.0,-177.0,0.56,-0.699,-0.56
58048.69,-82.0,958.0,-176.0,0.349,-0.839,-0.56
58048.87,-82.0,956.0,-176.0,0.56,-0.629,-0.419
58049.5,-84.0,957.0,-176.0,0.349,-0.699,-0.49
58049.23,-81.0,955.0,-176.0,0.419,-0.769,-0.629
58049.42,-82.0,956.0,-175.0,0.349,-0.699,-0.419
58049.6,-82.0,956.0,-176.0,0.419,-0.699,-0.56
58049.78,-82.0,956.0,-177.0,0.49,-0.699,-0.56
58049.96,-83.0,956.0,-176.0,0.49,-0.769,-0.56
58050.14,-83.0,955.0,-177.0,0.349,-0.699,-0.56
58051.42,-82.0,957.0,-176.0,0.419,-0.699,-0.56
58051.6,-82.0,955.0,-178.0,0.49,-0.769,-0.56
58051.79,-83.0,958.0,-175.0,0.419,-0.769,-0.629
58051.97,-79.0,956.0,-176.0,0.28,-0.699,-0.419
58052.15,-85.0,957.0,-177.0,0.419,-0.769,-0.629
58052.51,-82.0,955.0,-177.0,0.419,-0.629,-0.56
58052.7,-82.0,956.0,-176.0,0.49,-0.769,-0.56
58052.88,-81.0,957.0,-175.0,0.419,-0.699,-0.56
58053.6,-82.0,956.0,-177.0,0.419,-0.629,-0.629
58053.24,-83.0,956.0,-176.0,0.49,-0.699,-0.56
58053.43,-84.0,956.0,-178.0,0.56,-0.699,-0.56
58053.61,-82.0,957.0,-175.0,0.49,-0.91,-0.629
