timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5644.93,-77.0,957.0,-174.0,0.49,-0.769,-0.56
5649.12,-79.0,958.0,-172.0,0.349,-0.839,-0.56
5649.3,-76.0,958.0,-173.0,0.49,-0.699,-0.49
5649.49,-77.0,957.0,-170.0,0.28,-0.629,-0.699
5649.67,-74.0,958.0,-176.0,0.49,-0.839,-0.419
5649.85,-79.0,958.0,-171.0,0.349,-0.839,-0.56
5650.3,-78.0,958.0,-173.0,0.349,-0.699,-0.629
5650.21,-77.0,956.0,-172.0,0.349,-0.629,-0.56
5650.4,-78.0,958.0,-177.0,0.49,-0.769,-0.56
5651.49,-77.0,957.0,-174.0,0.419,-0.769,-0.56
5651.67,-77.0,957.0,-172.0,0.28,-0.769,-0.49
5651.86,-78.0,958.0,-174.0,0.419,-0.699,-0.629
5652.4,-78.0,958.0,-174.0,0.419,-0.769,-0.49
5652.22,-76.0,958.0,-175.0,0.349,-0.769,-0.699
5652.4,-77.0,957.0,-174.0,0.419,-0.769,-0.419
5652.59,-78.0,958.0,-171.0,0.419,-0.769,-0.56
5652.77,-78.0,958.0,-173.0,0.28,-0.839,-0.56
5652.95,-79.0,957.0,-173.0,0.419,-0.699,-0.56
5653.13,-75.0,957.0,-174.0,0.419,-0.839,-0.56
5653.31,-79.0,958.0,-175.0,0.419,-0.699,-0.56
5653.5,-75.0,957.0,-173.0,0.629,-0.839,-0.699
5653.68,-77.0,958.0,-175.0,0.419,-0.699,-0.49
5653.86,-76.0,957.0,-172.0,0.349,-0.839,-0.56
5654.4,-79.0,959.0,-174.0,0.28,-0.839,-0.49
5654.59,-79.0,959.0,-173.0,0.49,-0.629,-0.699
5654.77,-77.0,958.0,-171.0,0.419,-0.699,-0.699
5654.96,-78.0,957.0,-173.0,0.209,-0.629,-0.49
5655.14,-76.0,957.0,-173.0,0.56,-0.91,-0.56
5655.32,-79.0,959.0,-173.0,0.28,-0.629,-0.419
