timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
117.6,-80.0,956.0,-178.0,0.49,-0.699,-0.49
117.78,-88.0,957.0,-175.0,0.56,-0.699,-0.56
117.96,-82.0,956.0,-177.0,0.349,-0.699,-0.699
118.11,-82.0,957.0,-177.0,0.349,-0.699,-0.49
118.33,-82.0,956.0,-178.0,0.49,-0.769,-0.56
118.51,-83.0,956.0,-176.0,0.419,-0.769,-0.419
118.69,-84.0,958.0,-178.0,0.28,-0.699,-0.699
118.88,-82.0,957.0,-177.0,0.419,-0.699,-0.56
119.6,-85.0,958.0,-177.0,0.49,-0.699,-0.56
119.24,-84.0,957.0,-176.0,0.349,-0.769,-0.56
122.7,-81.0,957.0,-179.0,0.56,-0.699,-0.49
122.88,-87.0,958.0,-176.0,0.49,-0.769,-0.699
123.7,-77.0,955.0,-178.0,0.49,-0.629,-0.49
123.25,-87.0,958.0,-178.0,0.349,-0.839,-0.56
123.43,-81.0,957.0,-176.0,0.49,-0.699,-0.629
123.61,-84.0,957.0,-178.0,0.419,-0.699,-0.49
123.8,-82.0,956.0,-176.0,0.49,-0.839,-0.629
123.98,-83.0,955.0,-177.0,0.28,-0.769,-0.49
124.16,-83.0,957.0,-177.0,0.49,-0.769,-0.56
124.34,-84.0,957.0,-176.0,0.349,-0.769,-0.56
124.53,-83.0,956.0,-177.0,0.419,-0.769,-0.629
124.71,-82.0,957.0,-177.0,0.419,-0.699,-0.56
124.89,-83.0,957.0,-177.0,0.419,-0.699,-0.49
125.7,-85.0,957.0,-177.0,0.349,-0.769,-0.629
125.25,-82.0,955.0,-178.0,0.349,-0.769,-0.56
125.44,-85.0,958.0,-177.0,0.349,-0.769,-0.629
125.62,-83.0,956.0,-178.0,0.419,-0.699,-0.56
125.8,-84.0,958.0,-178.0,0.49,-0.91,-0.629
125.98,-82.0,956.0,-178.0,0.49,-0.629,-0.49
130.91,-83.0,957.0,-177.0,0.49,-0.56,-0.349
131.9,-84.0,958.0,-177.0,0.349,-0.839,-0.56
131.27,-83.0,957.0,-176.0,0.419,-0.769,-0.56
131.45,-80.0,955.0,-178.0,0.419,-0.769,-0.56
131.63,-86.0,958.0,-177.0,0.49,-0.629,-0.349
131.82,-84.0,956.0,-178.0,0.419,-0.91,-0.699
132.0,-81.0,956.0,-176.0,0.49,-0.699,-0.419
132.18,-85.0,956.0,-177.0,0.349,-0.699,-0.629
132.36,-81.0,957.0,-177.0,0.49,-0.769,-0.56
132.55,-83.0,955.0,-177.0,0.349,-0.769,-0.629
132.73,-85.0,957.0,-177.0,0.49,-0.699,-0.49
132.91,-84.0,958.0,-177.0,0.28,-0.769,-0.699
133.9,-81.0,956.0,-176.0,0.349,-0.839,-0.56
133.27,-85.0,957.0,-177.0,0.419,-0.629,-0.419
133.46,-84.0,958.0,-176.0,0.419,-0.839,-0.56
133.64,-81.0,956.0,-177.0,0.49,-0.629,-0.49
