timestamp,qx,qy,qz,qw
5644.93,-0.089,0.038,0.013,0.995
5649.12,-0.089,0.038,0.013,0.995
5649.3,-0.089,0.038,0.013,0.995
5649.49,-0.089,0.038,0.013,0.995
5649.67,-0.089,0.038,0.013,0.995
5649.85,-0.089,0.038,0.013,0.995
5650.3,-0.089,0.038,0.013,0.995
5650.21,-0.089,0.038,0.013,0.995
5650.4,-0.089,0.038,0.013,0.995
5651.49,-0.089,0.038,0.013,0.995
5651.67,-0.089,0.038,0.013,0.995
5651.86,-0.089,0.038,0.013,0.995
5652.4,-0.089,0.038,0.013,0.995
5652.22,-0.089,0.038,0.013,0.995
5652.4,-0.089,0.038,0.013,0.995
5652.59,-0.089,0.038,0.013,0.995
5652.77,-0.089,0.038,0.013,0.995
5652.95,-0.089,0.038,0.013,0.995
5653.13,-0.089,0.038,0.013,0.995
5653.31,-0.089,0.038,0.013,0.995
5653.5,-0.089,0.038,0.013,0.995
5653.68,-0.089,0.038,0.013,0.995
5653.86,-0.089,0.038,0.013,0.995
5654.4,-0.089,0.038,0.013,0.995
5654.41,-0.089,0.038,0.013,0.995
5654.59,-0.089,0.038,0.013,0.995
5654.77,-0.089,0.038,0.013,0.995
5654.96,-0.089,0.038,0.013,0.995
5655.14,-0.089,0.038,0.013,0.995
5655.32,-0.089,0.038,0.013,0.995
5655.5,-0.089,0.038,0.013,0.995
5655.68,-0.089,0.038,0.013,0.995
5655.87,-0.089,0.038,0.013,0.995
5656.5,-0.089,0.038,0.013,0.995
5656.23,-0.089,0.038,0.013,0.995
5656.41,-0.089,0.038,0.013,0.995
5656.6,-0.089,0.038,0.013,0.995
5656.78,-0.089,0.038,0.013,0.995
5656.96,-0.089,0.038,0.013,0.995
5657.14,-0.089,0.038,0.013,0.995
5657.33,-0.089,0.038,0.013,0.995
5657.51,-0.089,0.038,0.013,0.995
5657.69,-0.089,0.038,0.013,0.995
5657.87,-0.089,0.038,0.013,0.995
5658.5,-0.089,0.038,0.013,0.995
5658.24,-0.089,0.038,0.013,0.995
5658.42,-0.089,0.038,0.013,0.995
5658.6,-0.089,0.038,0.013,0.995
5658.78,-0.089,0.038,0.013,0.995
5658.97,-0.089,0.038,0.013,0.995
