timestamp,pitch,yaw,roll
117.6,-0.009,0.046,0.002
117.78,0.016,0.048,0.007
117.96,-0.037,0.052,-0.022
118.15,0.011,0.053,-0.021
118.33,-0.018,0.052,-0.013
118.51,0.038,0.052,-0.01
118.69,-0.028,0.054,-0.027
118.88,0.011,0.055,-0.022
119.6,0.003,0.056,-0.025
122.7,0.003,0.054,0.005
122.88,-0.001,0.053,-0.022
123.7,-0.009,0.052,-0.02
123.25,0.015,0.051,-0.027
123.43,-0.021,0.052,-0.029
123.61,0.003,0.051,-0.038
123.8,-0.012,0.05,-0.016
123.98,0.019,0.049,-0.042
124.16,-0.011,0.05,-0.011
124.34,-0.015,0.053,-0.028
124.53,-0.011,0.051,-0.016
124.71,-0.007,0.049,-0.02
124.89,-0.005,0.05,-0.018
125.7,-0.006,0.048,-0.034
125.25,-0.012,0.047,-0.032
125.44,-0.008,0.047,-0.022
125.62,0.001,0.045,-0.015
125.8,0.004,0.045,-0.008
130.91,0.045,0.054,-0.012
131.9,-0.005,0.053,-0.025
131.27,0.003,0.052,-0.03
131.45,-0.01,0.051,-0.025
131.63,0.047,0.052,-0.022
131.82,-0.038,0.053,-0.037
132.0,0.018,0.054,-0.027
132.18,-0.015,0.057,-0.038
132.36,-0.0,0.061,-0.024
132.55,0.014,0.061,-0.046
132.73,0.01,0.064,-0.027
132.91,-0.02,0.067,-0.034
133.9,0.027,0.069,-0.028
133.27,0.008,0.068,-0.024
133.46,-0.021,0.068,-0.048
133.64,0.011,0.069,-0.051
133.82,0.0,0.069,-0.034
134.0,0.002,0.071,0.001
134.19,-0.006,0.071,-0.013
134.37,0.001,0.069,0.003
134.55,-0.002,0.068,-0.005
134.73,-0.01,0.07,-0.008
134.92,0.002,0.073,0.016
135.1,-0.035,0.077,-0.035
135.28,0.017,0.073,-0.02
135.46,-0.005,0.076,0.02
135.64,-0.031,0.078,-0.036
135.83,0.003,0.077,0.008
136.1,-0.022,0.08,-0.009
136.19,0.004,0.079,0.008
136.37,-0.007,0.08,-0.016
136.56,-0.005,0.081,-0.028
136.74,0.008,0.085,-0.024
