timestamp,bias_x,bias_y,bias_z
58020.62,0.412,-0.549,-0.744
58020.8,0.412,-0.549,-0.744
58020.98,0.412,-0.549,-0.744
58021.16,0.412,-0.549,-0.744
58021.34,0.412,-0.549,-0.744
58021.53,0.412,-0.549,-0.74
58021.71,0.412,-0.549,-0.74
58021.89,0.412,-0.549,-0.74
58027.54,0.412,-0.549,-0.744
58027.72,0.412,-0.549,-0.744
58027.91,0.412,-0.549,-0.744
58028.9,0.415,-0.548,-0.746
58028.27,0.415,-0.548,-0.746
58028.45,0.415,-0.548,-0.746
58028.64,0.415,-0.548,-0.746
58028.82,0.415,-0.548,-0.746
58029.0,0.415,-0.548,-0.746
58031.55,0.41,-0.548,-0.743
58031.73,0.41,-0.548,-0.743
58031.92,0.41,-0.548,-0.744
58032.1,0.41,-0.548,-0.744
58032.28,0.41,-0.548,-0.744
58032.46,0.41,-0.548,-0.744
58032.65,0.41,-0.548,-0.744
58032.83,0.41,-0.548,-0.744
58033.1,0.413,-0.547,-0.743
58033.19,0.413,-0.547,-0.743
58033.37,0.413,-0.547,-0.743
58033.56,0.413,-0.547,-0.743
58034.47,0.417,-0.547,-0.743
58034.65,0.417,-0.547,-0.743
58034.83,0.418,-0.552,-0.74
58035.2,0.418,-0.552,-0.74
58035.2,0.418,-0.552,-0.74
58036.47,0.411,-0.554,-0.742
58036.66,0.411,-0.554,-0.742
58036.84,0.415,-0.551,-0.742
58037.2,0.415,-0.551,-0.742
58037.2,0.415,-0.551,-0.742
58037.38,0.415,-0.551,-0.742
58037.57,0.415,-0.551,-0.742
58037.75,0.416,-0.551,-0.74
58037.93,0.416,-0.551,-0.74
58038.11,0.416,-0.551,-0.74
58042.49,0.414,-0.546,-0.744
58042.67,0.414,-0.546,-0.744
58042.85,0.414,-0.546,-0.744
58043.4,0.414,-0.546,-0.744
58043.22,0.414,-0.546,-0.744
58043.4,0.413,-0.546,-0.747
58043.58,0.413,-0.546,-0.747
58043.76,0.413,-0.546,-0.747
58043.95,0.413,-0.546,-0.747
58044.13,0.413,-0.546,-0.747
58044.31,0.413,-0.546,-0.747
58044.49,0.414,-0.544,-0.747
58044.68,0.414,-0.544,-0.747
58044.86,0.414,-0.544,-0.747
58045.4,0.414,-0.544,-0.747
58045.22,0.414,-0.544,-0.747
58045.41,0.416,-0.543,-0.75
58045.59,0.416,-0.543,-0.75
58045.77,0.416,-0.543,-0.75
58045.95,0.416,-0.543,-0.75
58046.13,0.416,-0.543,-0.75
58046.32,0.413,-0.545,-0.75
58046.5,0.413,-0.545,-0.75
58046.68,0.413,-0.545,-0.75
