timestamp,altitude,azimuth,zenith,state
5644.93,0.228,1.17,1.427,MONITORING
5649.12,0.225,1.191,1.429,MONITORING
5649.3,0.225,1.192,1.422,MONITORING
5649.49,0.216,1.191,1.454,MONITORING
5649.67,0.224,1.193,1.418,MONITORING
5649.85,0.216,1.194,1.435,MONITORING
5650.3,0.217,1.195,1.439,MONITORING
5650.21,0.215,1.196,1.443,MONITORING
5650.4,0.233,1.197,1.423,MONITORING
5651.49,0.231,1.195,1.422,MONITORING
5651.67,0.218,1.198,1.434,MONITORING
5651.86,0.234,1.196,1.423,MONITORING
5652.4,0.223,1.196,1.431,MONITORING
5652.22,0.229,1.197,1.431,MONITORING
5652.4,0.226,1.202,1.423,MONITORING
5652.59,0.228,1.204,1.429,MONITORING
5652.77,0.227,1.206,1.427,MONITORING
5652.95,0.235,1.207,1.429,MONITORING
5653.13,0.236,1.208,1.421,MONITORING
5653.31,0.235,1.21,1.43,MONITORING
5653.5,0.247,1.213,1.402,MONITORING
5653.68,0.232,1.213,1.423,MONITORING
5653.86,0.233,1.216,1.416,MONITORING
5654.4,0.228,1.215,1.42,MONITORING
5654.41,0.236,1.216,1.416,MONITORING
5654.59,0.242,1.216,1.429,MONITORING
5654.77,0.239,1.219,1.421,MONITORING
5654.96,0.222,1.219,1.439,MONITORING
5655.14,0.232,1.22,1.424,MONITORING
5655.32,0.22,1.218,1.435,MONITORING
5655.5,0.225,1.218,1.434,MONITORING
5655.68,0.215,1.216,1.438,MONITORING
5655.87,0.222,1.216,1.431,MONITORING
5656.5,0.221,1.218,1.429,MONITORING
5656.23,0.228,1.217,1.419,MONITORING
5656.41,0.228,1.22,1.413,MONITORING
5656.6,0.234,1.225,1.415,MONITORING
5656.78,0.25,1.223,1.401,MONITORING
5657.14,0.225,1.228,1.425,MONITORING
5657.33,0.246,1.228,1.415,MONITORING
5657.51,0.239,1.23,1.418,MONITORING
5657.69,0.253,1.23,1.406,MONITORING
5657.87,0.239,1.227,1.425,MONITORING
5658.5,0.238,1.227,1.429,MONITORING
5658.24,0.242,1.228,1.424,MONITORING
5658.42,0.253,1.23,1.413,MONITORING
5658.6,0.242,1.228,1.429,MONITORING
5658.78,0.237,1.227,1.431,MONITORING
5658.97,0.237,1.228,1.416,MONITORING
5662.25,0.23,1.249,1.428,MONITORING
5662.43,0.224,1.251,1.433,MONITORING
5662.61,0.214,1.25,1.443,MONITORING
5662.79,0.197,1.251,1.45,MONITORING
5662.98,0.193,1.253,1.463,MONITORING
5663.16,0.178,1.252,1.459,MONITORING
5663.34,0.188,1.252,1.453,MONITORING
5663.52,0.18,1.251,1.451,MONITORING
5663.71,0.19,1.25,1.448,MONITORING
5663.89,0.209,1.25,1.422,MONITORING
5666.62,0.203,1.251,1.449,MONITORING
5666.81,0.213,1.25,1.429,MONITORING
5666.99,0.215,1.253,1.436,MONITORING
5667.17,0.222,1.256,1.433,MONITORING
5667.35,0.217,1.255,1.451,MONITORING
5667.53,0.196,1.26,1.453,MONITORING
5667.72,0.198,1.259,1.452,MONITORING
5667.9,0.199,1.257,1.448,MONITORING
5668.8,0.21,1.254,1.424,MONITORING
5668.26,0.194,1.254,1.452,MONITORING
5668.45,0.204,1.254,1.434,MONITORING
5668.63,0.21,1.255,1.428,MONITORING
5668.81,0.214,1.252,1.431,MONITORING
5668.99,0.218,1.252,1.435,MONITORING
5669.18,0.236,1.253,1.408,MONITORING
5669.36,0.245,1.249,1.408,MONITORING
5669.54,0.244,1.247,1.423,MONITORING
5669.72,0.243,1.249,1.431,MONITORING
5669.9,0.253,1.251,1.402,MONITORING
5670.9,0.261,1.253,1.403,MONITORING
5670.27,0.241,1.251,1.432,MONITORING
5670.45,0.245,1.251,1.413,MONITORING
5670.63,0.241,1.252,1.416,MONITORING
5670.82,0.25,1.256,1.405,MONITORING
5671.0,0.245,1.257,1.407,MONITORING
5671.91,0.214,1.264,1.431,MONITORING
5672.9,0.188,1.268,1.452,MONITORING
5672.27,0.193,1.268,1.44,MONITORING
5672.46,0.196,1.275,1.438,MONITORING
5672.64,0.2,1.276,1.436,MONITORING
5672.82,0.21,1.279,1.436,MONITORING
5673.0,0.206,1.28,1.437,MONITORING
5673.19,0.203,1.28,1.45,MONITORING
5673.37,0.196,1.279,1.447,MONITORING
5673.55,0.196,1.277,1.441,MONITORING
5673.73,0.225,1.275,1.423,MONITORING
5673.91,0.245,1.275,1.408,MONITORING
5674.1,0.244,1.274,1.41,MONITORING
5674.28,0.235,1.273,1.424,MONITORING
5674.46,0.226,1.275,1.431,MONITORING
5674.64,0.235,1.277,1.418,MONITORING
5674.83,0.212,1.28,1.446,MONITORING
5675.1,0.21,1.283,1.448,MONITORING
5675.19,0.216,1.285,1.42,MONITORING
5675.37,0.202,1.285,1.443,MONITORING
5676.1,0.209,1.283,1.436,MONITORING
5676.28,0.222,1.28,1.438,MONITORING
5676.47,0.232,1.285,1.412,MONITORING
5676.65,0.226,1.286,1.437,MONITORING
5678.47,0.212,1.298,1.438,MONITORING
5679.2,0.224,1.304,1.425,MONITORING
5679.38,0.219,1.302,1.436,MONITORING
5679.57,0.217,1.303,1.439,MONITORING
5680.84,0.194,1.307,1.455,MONITORING
5681.2,0.204,1.308,1.434,MONITORING
5681.21,0.21,1.311,1.438,MONITORING
5681.39,0.227,1.313,1.422,MONITORING
5681.57,0.221,1.312,1.424,MONITORING
5681.75,0.226,1.311,1.43,MONITORING
