timestamp,qx,qy,qz,qw
13.32,-0.092,0.039,0.032,0.994
13.51,-0.092,0.039,0.032,0.994
13.69,-0.092,0.039,0.032,0.994
13.87,-0.092,0.039,0.032,0.994
14.5,-0.092,0.039,0.032,0.994
14.24,-0.092,0.039,0.032,0.994
14.42,-0.092,0.039,0.032,0.994
14.6,-0.092,0.039,0.032,0.994
14.78,-0.092,0.039,0.032,0.994
14.97,-0.092,0.039,0.032,0.994
15.15,-0.092,0.039,0.032,0.994
15.33,-0.092,0.039,0.032,0.994
15.51,-0.092,0.039,0.032,0.994
15.69,-0.092,0.039,0.032,0.994
15.88,-0.092,0.039,0.032,0.994
16.6,-0.092,0.039,0.032,0.994
16.24,-0.092,0.039,0.032,0.994
16.42,-0.092,0.039,0.032,0.994
16.61,-0.092,0.039,0.032,0.994
16.79,-0.092,0.039,0.032,0.994
16.97,-0.092,0.039,0.032,0.994
17.15,-0.092,0.039,0.032,0.994
17.34,-0.092,0.039,0.032,0.994
17.52,-0.092,0.039,0.032,0.994
17.7,-0.092,0.039,0.032,0.994
17.88,-0.092,0.039,0.032,0.994
18.6,-0.092,0.039,0.032,0.994
18.25,-0.092,0.039,0.032,0.994
18.43,-0.092,0.039,0.032,0.994
18.61,-0.092,0.039,0.032,0.994
18.79,-0.092,0.039,0.032,0.994
18.98,-0.092,0.039,0.032,0.994
19.16,-0.092,0.039,0.032,0.994
19.34,-0.092,0.039,0.032,0.994
19.52,-0.092,0.039,0.032,0.994
19.71,-0.092,0.039,0.032,0.994
19.89,-0.092,0.039,0.032,0.994
20.7,-0.092,0.039,0.032,0.994
20.25,-0.092,0.039,0.032,0.994
20.43,-0.092,0.039,0.032,0.994
20.62,-0.092,0.039,0.032,0.994
20.8,-0.092,0.039,0.032,0.994
20.98,-0.092,0.039,0.032,0.994
21.16,-0.092,0.039,0.032,0.994
21.35,-0.092,0.039,0.032,0.994
21.53,-0.092,0.039,0.032,0.994
22.62,-0.092,0.039,0.032,0.994
22.8,-0.092,0.039,0.032,0.994
22.99,-0.092,0.039,0.032,0.994
23.17,-0.092,0.039,0.032,0.994
23.35,-0.092,0.039,0.032,0.994
23.53,-0.092,0.039,0.032,0.994
23.72,-0.092,0.039,0.032,0.994
23.9,-0.092,0.039,0.032,0.994
24.8,-0.092,0.039,0.032,0.994
24.26,-0.092,0.039,0.032,0.994
24.45,-0.092,0.039,0.032,0.994
27.73,-0.092,0.039,0.032,0.994
27.91,-0.092,0.039,0.032,0.994
28.9,-0.093,0.039,0.032,0.994
28.27,-0.092,0.039,0.032,0.994
28.46,-0.092,0.039,0.032,0.994
28.64,-0.092,0.039,0.032,0.994
28.82,-0.092,0.039,0.032,0.994
29.0,-0.092,0.039,0.032,0.994
29.19,-0.092,0.039,0.032,0.994
29.37,-0.092,0.039,0.032,0.994
29.55,-0.092,0.039,0.032,0.994
29.73,-0.092,0.039,0.032,0.994
29.92,-0.092,0.039,0.032,0.994
30.1,-0.092,0.039,0.032,0.994
30.28,-0.092,0.039,0.032,0.994
30.46,-0.092,0.039,0.032,0.994
30.64,-0.092,0.039,0.032,0.994
30.83,-0.092,0.039,0.032,0.994
31.1,-0.092,0.039,0.032,0.994
31.19,-0.092,0.039,0.032,0.994
31.37,-0.092,0.039,0.032,0.994
31.56,-0.092,0.039,0.032,0.994
31.74,-0.092,0.039,0.032,0.994
31.92,-0.092,0.039,0.032,0.994
32.1,-0.092,0.039,0.032,0.994
32.29,-0.092,0.039,0.032,0.994
32.47,-0.092,0.039,0.032,0.994
32.65,-0.092,0.039,0.032,0.994
33.56,-0.092,0.039,0.032,0.994
33.74,-0.092,0.039,0.032,0.994
33.93,-0.092,0.039,0.032,0.994
34.11,-0.092,0.039,0.032,0.994
34.29,-0.092,0.039,0.032,0.994
34.47,-0.092,0.039,0.032,0.994
34.66,-0.092,0.039,0.032,0.994
34.84,-0.092,0.039,0.032,0.994
35.2,-0.092,0.039,0.032,0.994
35.2,-0.092,0.039,0.032,0.994
35.38,-0.092,0.039,0.032,0.994
35.57,-0.092,0.039,0.032,0.994
35.75,-0.091,0.039,0.032,0.994
35.93,-0.091,0.039,0.032,0.994
36.11,-0.091,0.039,0.032,0.994
36.3,-0.092,0.039,0.032,0.994
36.48,-0.091,0.039,0.032,0.994
36.66,-0.091,0.039,0.032,0.994
36.84,-0.091,0.039,0.032,0.994
37.3,-0.092,0.039,0.032,0.994
37.21,-0.092,0.039,0.032,0.994
37.39,-0.092,0.039,0.032,0.994
37.57,-0.092,0.039,0.032,0.994
37.75,-0.092,0.039,0.032,0.994
37.94,-0.092,0.039,0.032,0.994
38.12,-0.092,0.039,0.032,0.994
38.3,-0.092,0.039,0.032,0.994
38.48,-0.092,0.039,0.032,0.994
38.67,-0.092,0.039,0.032,0.994
38.85,-0.092,0.039,0.032,0.994
39.3,-0.092,0.039,0.032,0.994
39.21,-0.092,0.039,0.032,0.994
39.39,-0.092,0.039,0.032,0.994
39.58,-0.092,0.039,0.032,0.994
39.76,-0.092,0.039,0.032,0.994
39.94,-0.092,0.039,0.032,0.994
40.12,-0.092,0.039,0.032,0.994
40.31,-0.092,0.039,0.032,0.994
