timestamp,qx,qy,qz,qw
117.6,-0.091,0.041,0.015,0.994
117.78,-0.091,0.041,0.015,0.994
117.96,-0.091,0.041,0.015,0.994
118.15,-0.091,0.041,0.015,0.994
118.33,-0.091,0.041,0.015,0.994
118.51,-0.091,0.041,0.015,0.994
118.69,-0.091,0.041,0.015,0.994
118.88,-0.091,0.041,0.015,0.994
119.6,-0.091,0.041,0.015,0.994
119.24,-0.091,0.041,0.015,0.994
122.7,-0.091,0.041,0.015,0.994
122.88,-0.091,0.041,0.015,0.994
123.7,-0.091,0.041,0.015,0.994
123.25,-0.091,0.041,0.015,0.994
123.43,-0.091,0.041,0.015,0.994
123.61,-0.091,0.041,0.015,0.994
123.8,-0.091,0.041,0.015,0.994
123.98,-0.091,0.041,0.015,0.994
124.16,-0.091,0.041,0.015,0.994
124.34,-0.091,0.041,0.015,0.994
124.53,-0.091,0.041,0.015,0.994
124.71,-0.091,0.041,0.015,0.994
124.89,-0.091,0.041,0.015,0.994
125.7,-0.091,0.041,0.015,0.994
125.25,-0.091,0.041,0.015,0.994
125.44,-0.091,0.041,0.015,0.994
125.62,-0.091,0.041,0.015,0.994
125.8,-0.091,0.041,0.015,0.994
125.98,-0.091,0.041,0.015,0.994
130.91,-0.091,0.041,0.015,0.994
131.9,-0.091,0.041,0.015,0.994
131.27,-0.091,0.041,0.015,0.994
131.45,-0.091,0.041,0.015,0.994
131.63,-0.091,0.041,0.015,0.994
131.82,-0.091,0.041,0.015,0.994
132.0,-0.091,0.041,0.015,0.994
132.18,-0.091,0.041,0.015,0.994
132.36,-0.091,0.041,0.015,0.994
132.55,-0.091,0.041,0.015,0.994
132.73,-0.091,0.041,0.015,0.994
132.91,-0.091,0.041,0.015,0.994
133.9,-0.091,0.041,0.015,0.994
133.27,-0.091,0.041,0.015,0.994
133.46,-0.091,0.041,0.015,0.994
133.64,-0.091,0.041,0.015,0.994
133.82,-0.091,0.041,0.015,0.994
134.0,-0.091,0.041,0.015,0.994
134.19,-0.091,0.041,0.015,0.994
134.37,-0.091,0.041,0.015,0.994
134.55,-0.091,0.041,0.015,0.994
134.73,-0.091,0.041,0.015,0.994
134.92,-0.091,0.041,0.015,0.994
135.1,-0.091,0.041,0.015,0.994
135.28,-0.091,0.041,0.015,0.994
135.46,-0.091,0.041,0.015,0.994
135.64,-0.091,0.041,0.015,0.994
135.83,-0.091,0.041,0.015,0.994
136.1,-0.091,0.041,0.015,0.994
136.19,-0.091,0.041,0.015,0.994
136.37,-0.091,0.041,0.015,0.994
136.56,-0.091,0.041,0.015,0.994
136.74,-0.091,0.041,0.015,0.994
136.92,-0.091,0.041,0.015,0.994
141.11,-0.091,0.041,0.015,0.994
141.3,-0.091,0.041,0.015,0.994
141.48,-0.091,0.041,0.015,0.994
141.66,-0.091,0.041,0.015,0.994
141.84,-0.091,0.041,0.015,0.994
142.2,-0.091,0.041,0.015,0.994
142.21,-0.091,0.041,0.015,0.994
142.39,-0.091,0.041,0.015,0.994
142.57,-0.091,0.041,0.015,0.994
142.75,-0.091,0.041,0.015,0.994
142.94,-0.091,0.041,0.015,0.994
143.12,-0.091,0.041,0.015,0.994
143.3,-0.091,0.041,0.015,0.994
143.48,-0.091,0.041,0.015,0.994
143.66,-0.091,0.041,0.015,0.994
143.85,-0.091,0.041,0.015,0.994
144.3,-0.091,0.041,0.015,0.994
144.21,-0.091,0.041,0.015,0.994
144.39,-0.091,0.041,0.015,0.994
144.58,-0.091,0.041,0.015,0.994
147.49,-0.091,0.041,0.015,0.994
147.68,-0.091,0.041,0.015,0.994
147.86,-0.091,0.041,0.015,0.994
148.4,-0.091,0.041,0.015,0.994
148.22,-0.091,0.041,0.015,0.994
148.4,-0.091,0.041,0.015,0.994
148.59,-0.091,0.041,0.015,0.994
148.77,-0.091,0.041,0.015,0.994
148.95,-0.091,0.041,0.015,0.994
149.13,-0.091,0.041,0.015,0.994
149.32,-0.091,0.041,0.015,0.994
149.5,-0.091,0.041,0.015,0.994
149.68,-0.091,0.041,0.015,0.994
149.86,-0.091,0.041,0.015,0.994
150.4,-0.091,0.041,0.015,0.994
150.23,-0.091,0.041,0.015,0.994
150.41,-0.091,0.041,0.015,0.994
150.59,-0.091,0.041,0.015,0.994
150.77,-0.091,0.041,0.015,0.994
150.96,-0.091,0.041,0.015,0.994
151.14,-0.091,0.041,0.015,0.994
151.32,-0.091,0.041,0.015,0.994
151.5,-0.091,0.041,0.015,0.994
151.69,-0.091,0.041,0.015,0.994
151.87,-0.091,0.041,0.015,0.994
152.5,-0.091,0.041,0.015,0.994
152.23,-0.092,0.041,0.015,0.994
152.41,-0.092,0.041,0.015,0.994
152.6,-0.092,0.041,0.015,0.994
152.78,-0.092,0.041,0.015,0.994
152.96,-0.092,0.041,0.015,0.994
153.14,-0.092,0.041,0.015,0.994
153.33,-0.092,0.041,0.015,0.994
153.51,-0.092,0.041,0.015,0.994
153.69,-0.092,0.041,0.015,0.994
153.87,-0.092,0.041,0.015,0.994
154.6,-0.091,0.041,0.015,0.994
154.24,-0.091,0.041,0.015,0.994
154.42,-0.091,0.041,0.015,0.994
154.6,-0.091,0.041,0.015,0.994
154.78,-0.091,0.041,0.015,0.994
154.97,-0.091,0.041,0.015,0.994
155.15,-0.091,0.041,0.015,0.994
155.33,-0.091,0.041,0.015,0.994
155.51,-0.091,0.041,0.015,0.994
155.7,-0.092,0.041,0.015,0.994
155.88,-0.092,0.041,0.015,0.994
156.6,-0.091,0.041,0.015,0.994
156.24,-0.092,0.041,0.015,0.994
156.43,-0.091,0.041,0.015,0.994
156.61,-0.091,0.041,0.015,0.994
156.79,-0.091,0.041,0.015,0.994
156.97,-0.091,0.041,0.015,0.994
157.15,-0.091,0.041,0.015,0.994
157.34,-0.091,0.041,0.015,0.994
157.52,-0.091,0.041,0.015,0.994
157.7,-0.091,0.041,0.015,0.994
157.88,-0.092,0.041,0.015,0.994
158.7,-0.092,0.041,0.015,0.994
158.25,-0.092,0.041,0.015,0.994
158.43,-0.092,0.041,0.015,0.994
158.61,-0.092,0.041,0.015,0.994
158.79,-0.092,0.041,0.015,0.994
158.98,-0.092,0.041,0.015,0.994
159.16,-0.092,0.041,0.015,0.994
159.34,-0.092,0.041,0.015,0.994
159.52,-0.092,0.041,0.015,0.994
159.71,-0.091,0.041,0.015,0.994
166.63,-0.092,0.041,0.015,0.994
166.82,-0.092,0.041,0.015,0.994
167.0,-0.092,0.041,0.015,0.994
167.18,-0.092,0.041,0.015,0.994
167.36,-0.092,0.041,0.015,0.994
167.54,-0.092,0.041,0.015,0.994
167.73,-0.092,0.041,0.015,0.994
167.91,-0.092,0.041,0.015,0.994
