timestamp,altitude,azimuth,zenith,state
415.94,0.018,0.472,0.006,MONITORING
416.13,0.01,0.474,0.011,MONITORING
416.31,0.0,0.475,0.015,MONITORING
416.49,0.009,0.473,0.006,MONITORING
416.67,0.005,0.473,0.012,MONITORING
416.85,0.0,0.475,0.005,MONITORING
417.4,0.029,0.477,0.047,MONITORING
417.22,0.019,0.477,0.003,MONITORING
417.4,0.015,0.477,0.027,MONITORING
417.58,0.005,0.474,0.001,MONITORING
418.49,0.003,0.469,0.0,MONITORING
419.22,0.023,0.473,0.003,MONITORING
419.95,0.013,0.481,0.004,MONITORING
421.4,0.007,0.479,0.02,MONITORING
421.77,0.009,0.482,0.013,MONITORING
422.5,0.009,0.487,0.023,MONITORING
422.87,0.018,0.491,0.013,MONITORING
423.78,0.006,0.499,0.001,MONITORING
424.51,0.001,0.5,0.002,MONITORING
424.69,0.007,0.502,0.002,MONITORING
426.88,0.035,0.495,0.008,MONITORING
427.6,0.033,0.491,0.007,MONITORING
428.52,0.019,0.491,0.004,MONITORING
429.43,0.017,0.487,0.005,MONITORING
429.61,0.016,0.486,0.001,MONITORING
431.8,0.028,0.482,0.007,MONITORING
432.89,0.013,0.474,0.014,MONITORING
433.8,0.019,0.484,0.002,MONITORING
435.44,0.022,0.488,0.002,MONITORING
436.17,0.009,0.487,0.006,MONITORING
437.8,0.036,0.484,0.006,MONITORING
437.99,0.013,0.485,0.002,MONITORING
438.72,0.01,0.495,0.003,MONITORING
438.9,0.015,0.496,0.006,MONITORING
440.91,0.03,0.495,0.007,MONITORING
441.64,0.025,0.496,0.004,MONITORING
442.37,0.031,0.495,0.003,MONITORING
443.9,0.037,0.489,0.005,MONITORING
444.1,0.007,0.489,0.008,MONITORING
444.73,0.009,0.483,0.0,MONITORING
445.83,0.029,0.487,0.002,MONITORING
446.56,0.032,0.484,0.006,MONITORING
447.29,0.035,0.488,0.001,MONITORING
447.47,0.019,0.49,0.005,MONITORING
449.65,0.017,0.494,0.015,MONITORING
450.57,0.003,0.502,0.018,MONITORING
451.3,0.003,0.502,0.007,MONITORING
452.21,0.002,0.497,0.005,MONITORING
454.21,0.019,0.505,0.005,MONITORING
455.49,0.032,0.508,0.008,MONITORING
456.94,0.029,0.51,0.005,MONITORING
458.95,0.009,0.508,0.017,MONITORING
460.59,0.04,0.51,0.008,MONITORING
462.78,0.013,0.517,0.009,MONITORING
464.5,0.024,0.524,0.008,MONITORING
464.96,0.025,0.524,0.002,MONITORING
466.42,0.025,0.53,0.004,MONITORING
467.88,0.031,0.524,0.004,MONITORING
469.33,0.014,0.526,0.006,MONITORING
470.61,0.01,0.53,0.007,MONITORING
471.34,0.013,0.531,0.004,MONITORING
472.8,0.0,0.534,0.016,MONITORING
475.9,0.015,0.549,0.006,MONITORING
477.9,0.005,0.547,0.01,MONITORING
480.27,0.007,0.554,0.015,MONITORING
483.37,0.008,0.558,0.01,MONITORING
484.64,0.015,0.565,0.009,MONITORING
486.83,0.013,0.567,0.009,MONITORING
487.1,0.01,0.566,0.012,MONITORING
490.11,0.011,0.575,0.005,MONITORING
490.29,0.02,0.574,0.007,MONITORING
493.75,0.03,0.584,0.011,MONITORING
494.85,0.013,0.585,0.013,MONITORING
496.3,0.012,0.592,0.007,MONITORING
497.94,0.018,0.6,0.002,MONITORING
498.13,0.018,0.599,0.006,MONITORING
502.5,0.002,0.612,0.008,MONITORING
503.59,0.006,0.618,0.003,MONITORING
505.6,0.002,0.618,0.006,MONITORING
508.7,0.002,0.634,0.004,MONITORING
510.52,0.022,0.635,0.012,MONITORING
513.62,0.011,0.635,0.004,MONITORING
514.89,0.019,0.639,0.005,MONITORING
515.7,0.012,0.641,0.037,MONITORING
519.81,0.043,0.658,0.007,MONITORING
521.45,0.008,0.663,0.008,MONITORING
523.46,0.009,0.668,0.005,MONITORING
525.1,0.012,0.671,0.022,MONITORING
526.92,0.01,0.672,0.006,MONITORING
529.47,0.021,0.681,0.002,MONITORING
532.57,0.005,0.685,0.004,MONITORING
534.39,0.052,0.687,0.002,MONITORING
536.3,0.094,0.687,0.007,MONITORING
536.21,0.084,0.687,0.003,MONITORING
539.86,0.01,0.694,0.007,MONITORING
541.32,0.016,0.697,0.012,MONITORING
542.59,0.02,0.697,0.008,MONITORING
543.69,0.016,0.699,0.007,MONITORING
545.51,0.012,0.707,0.006,MONITORING
547.15,0.006,0.708,0.012,MONITORING
548.79,0.0,0.709,0.01,MONITORING
550.79,0.014,0.713,0.004,MONITORING
553.89,0.007,0.715,0.019,MONITORING
555.9,0.018,0.713,0.002,MONITORING
559.91,0.027,0.714,0.004,MONITORING
563.1,0.029,0.709,0.001,MONITORING
564.65,0.034,0.708,0.013,MONITORING
564.83,0.008,0.707,0.022,MONITORING
569.2,0.039,0.715,0.02,MONITORING
