timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13.51,-81.0,956.0,-179.0,0.349,-0.629,-0.419
13.69,-87.0,958.0,-177.0,0.56,-0.839,-0.629
13.87,-81.0,957.0,-177.0,0.209,-0.769,-0.629
14.5,-82.0,956.0,-179.0,0.49,-0.699,-0.56
14.24,-85.0,957.0,-177.0,0.349,-0.839,-0.419
14.42,-83.0,956.0,-178.0,0.419,-0.769,-0.56
14.6,-83.0,957.0,-179.0,0.349,-0.699,-0.56
14.78,-83.0,957.0,-177.0,0.419,-0.699,-0.49
14.97,-83.0,958.0,-176.0,0.419,-0.769,-0.629
15.15,-83.0,957.0,-177.0,0.28,-0.839,-0.629
15.33,-82.0,956.0,-178.0,0.419,-0.699,-0.49
15.51,-86.0,959.0,-176.0,0.419,-0.91,-0.56
15.69,-81.0,955.0,-177.0,0.49,-0.699,-0.56
15.88,-83.0,958.0,-177.0,0.28,-0.699,-0.419
16.6,-85.0,956.0,-177.0,0.629,-0.769,-0.699
16.24,-82.0,957.0,-178.0,0.349,-0.769,-0.49
16.42,-83.0,958.0,-176.0,0.49,-0.629,-0.629
16.61,-83.0,957.0,-179.0,0.349,-0.839,-0.629
16.79,-79.0,957.0,-176.0,0.419,-0.699,-0.49
16.97,-84.0,957.0,-178.0,0.49,-0.629,-0.349
17.15,-86.0,958.0,-176.0,0.07,-0.839,-0.839
17.34,-78.0,956.0,-178.0,0.49,-0.699,-0.49
17.52,-87.0,957.0,-177.0,0.209,-0.769,-0.629
17.7,-81.0,957.0,-176.0,0.349,-0.839,-0.56
17.88,-85.0,957.0,-177.0,0.349,-0.629,-0.56
18.6,-84.0,957.0,-176.0,0.349,-0.699,-0.49
18.25,-84.0,957.0,-179.0,0.56,-0.91,-0.699
18.43,-81.0,956.0,-176.0,0.349,-0.769,-0.419
18.61,-85.0,958.0,-177.0,0.49,-0.769,-0.629
18.79,-82.0,956.0,-178.0,0.349,-0.769,-0.56
18.98,-85.0,956.0,-178.0,0.629,-0.699,-0.49
19.16,-81.0,956.0,-176.0,0.14,-0.699,-0.56
19.34,-84.0,957.0,-181.0,0.629,-0.699,-0.56
19.52,-85.0,957.0,-176.0,0.209,-0.769,-0.49
19.71,-84.0,957.0,-179.0,0.49,-0.769,-0.699
19.89,-83.0,956.0,-176.0,0.14,-0.769,-0.49
20.7,-84.0,957.0,-179.0,0.699,-0.769,-0.699
20.25,-83.0,957.0,-176.0,0.28,-0.839,-0.419
20.43,-84.0,958.0,-176.0,0.349,-0.699,-0.629
20.62,-80.0,953.0,-179.0,-0.07,-0.49,-0.28
20.8,-85.0,956.0,-176.0,0.699,-0.91,-0.699
21.16,-78.0,952.0,-187.0,0.91,-0.769,-0.839
21.35,-84.0,958.0,-171.0,0.28,-1.049,-0.28
21.53,-85.0,958.0,-178.0,0.49,-0.28,-0.839
22.62,-87.0,958.0,-164.0,0.209,-1.12,-0.769
22.8,-85.0,958.0,-181.0,0.419,-0.349,-0.56
22.99,-81.0,957.0,-178.0,0.28,-0.91,-0.56
23.17,-82.0,957.0,-176.0,0.49,-0.769,-0.49
23.35,-86.0,958.0,-180.0,0.28,-0.629,-0.769
23.53,-81.0,956.0,-174.0,0.419,-0.769,-0.349
23.72,-87.0,958.0,-179.0,0.349,-0.56,-0.699
23.9,-80.0,957.0,-175.0,0.349,-0.839,-0.49
24.8,-87.0,959.0,-178.0,0.49,-0.699,-0.56
24.26,-77.0,955.0,-174.0,0.49,-0.699,-0.49
24.45,-86.0,958.0,-177.0,0.49,-0.699,-0.49
27.73,-81.0,956.0,-177.0,0.419,-0.91,-0.49
27.91,-83.0,957.0,-179.0,0.49,-0.699,-0.699
28.9,-83.0,956.0,-178.0,0.349,-0.769,-0.49
28.27,-82.0,957.0,-179.0,0.49,-0.769,-0.629
28.46,-82.0,956.0,-177.0,0.419,-0.839,-0.49
28.64,-83.0,958.0,-177.0,0.419,-0.839,-0.629
28.82,-84.0,958.0,-176.0,0.28,-0.769,-0.49
29.0,-83.0,957.0,-178.0,0.49,-0.839,-0.629
29.19,-82.0,956.0,-177.0,0.349,-0.769,-0.49
29.37,-82.0,957.0,-177.0,0.49,-0.769,-0.56
29.55,-83.0,957.0,-176.0,0.349,-0.769,-0.49
29.73,-82.0,957.0,-177.0,0.49,-0.699,-0.629
29.92,-83.0,957.0,-176.0,0.28,-0.769,-0.56
30.1,-84.0,956.0,-177.0,0.419,-0.769,-0.56
30.28,-83.0,958.0,-179.0,0.349,-0.629,-0.629
30.46,-82.0,955.0,-176.0,0.49,-0.769,-0.56
30.64,-84.0,957.0,-177.0,0.419,-0.769,-0.629
30.83,-81.0,957.0,-175.0,0.349,-0.699,-0.56
31.1,-83.0,957.0,-178.0,0.419,-0.769,-0.56
31.19,-83.0,957.0,-176.0,0.419,-0.769,-0.56
31.37,-83.0,956.0,-177.0,0.349,-0.699,-0.56
31.56,-82.0,956.0,-176.0,0.349,-0.769,-0.629
31.74,-83.0,957.0,-176.0,0.49,-0.769,-0.56
31.92,-81.0,957.0,-176.0,0.419,-0.769,-0.56
32.1,-84.0,957.0,-176.0,0.419,-0.699,-0.56
32.29,-83.0,957.0,-176.0,0.349,-0.699,-0.629
32.47,-82.0,956.0,-177.0,0.419,-0.769,-0.56
32.65,-84.0,958.0,-177.0,0.349,-0.769,-0.56
33.56,-83.0,956.0,-177.0,0.419,-0.769,-0.49
33.74,-85.0,957.0,-176.0,0.419,-0.699,-0.56
33.93,-84.0,956.0,-178.0,0.419,-0.769,-0.56
34.11,-82.0,957.0,-178.0,0.349,-0.769,-0.56
34.29,-83.0,957.0,-176.0,0.419,-0.629,-0.49
34.47,-83.0,957.0,-178.0,0.349,-0.769,-0.629
34.66,-82.0,957.0,-178.0,0.419,-0.699,-0.49
34.84,-85.0,957.0,-178.0,0.419,-0.769,-0.56
35.2,-83.0,957.0,-176.0,0.419,-0.769,-0.49
35.2,-83.0,957.0,-176.0,0.419,-0.769,-0.56
35.38,-84.0,956.0,-176.0,0.349,-0.699,-0.49
35.57,-83.0,956.0,-175.0,0.419,-0.769,-0.56
35.75,-82.0,956.0,-177.0,0.419,-0.769,-0.56
35.93,-83.0,957.0,-176.0,0.419,-0.699,-0.56
36.11,-84.0,957.0,-177.0,0.419,-0.769,-0.629
36.3,-82.0,957.0,-175.0,0.349,-0.769,-0.49
36.48,-85.0,957.0,-176.0,0.49,-0.629,-0.56
36.66,-83.0,956.0,-176.0,0.349,-0.91,-0.56
36.84,-82.0,956.0,-177.0,0.49,-0.699,-0.49
37.3,-84.0,957.0,-176.0,0.349,-0.699,-0.56
37.21,-83.0,957.0,-178.0,0.419,-0.769,-0.56
37.39,-82.0,956.0,-177.0,0.49,-0.769,-0.49
37.57,-84.0,957.0,-177.0,0.419,-0.769,-0.56
37.75,-82.0,957.0,-176.0,0.349,-0.699,-0.629
37.94,-83.0,957.0,-177.0,0.419,-0.769,-0.49
38.12,-83.0,958.0,-177.0,0.419,-0.839,-0.56
38.3,-83.0,957.0,-176.0,0.419,-0.769,-0.49
38.48,-83.0,956.0,-177.0,0.349,-0.699,-0.49
38.67,-83.0,957.0,-177.0,0.49,-0.769,-0.629
39.3,-85.0,957.0,-177.0,0.49,-0.699,-0.56
39.21,-83.0,956.0,-178.0,0.349,-0.699,-0.56
39.39,-78.0,957.0,-176.0,0.419,-0.629,-0.56
39.58,-84.0,958.0,-178.0,0.349,-0.699,-0.419
39.76,-82.0,956.0,-177.0,0.419,-0.699,-0.629
39.94,-83.0,957.0,-176.0,0.419,-0.629,-0.419
40.12,-83.0,957.0,-176.0,0.419,-0.769,-0.629
40.31,-81.0,957.0,-178.0,0.49,-0.769,-0.629
40.49,-81.0,955.0,-176.0,0.56,-0.629,-0.349
