timestamp,pitch,yaw,roll
117.6,-0.084,0.046,0.471
117.78,-0.086,0.048,0.471
117.96,-0.086,0.052,0.475
118.15,-0.087,0.053,0.478
118.33,-0.084,0.052,0.479
118.51,-0.082,0.052,0.478
118.69,-0.084,0.054,0.478
118.88,-0.086,0.055,0.479
119.6,-0.088,0.056,0.485
122.7,-0.077,0.054,0.523
122.88,-0.079,0.053,0.523
123.7,-0.073,0.052,0.524
123.25,-0.077,0.051,0.528
123.43,-0.074,0.052,0.528
123.61,-0.075,0.051,0.532
123.8,-0.076,0.05,0.533
123.98,-0.074,0.049,0.536
124.16,-0.076,0.05,0.536
124.34,-0.073,0.053,0.532
124.53,-0.069,0.051,0.532
124.71,-0.071,0.049,0.535
124.89,-0.073,0.05,0.538
125.7,-0.074,0.048,0.54
125.25,-0.073,0.047,0.546
125.44,-0.075,0.047,0.55
125.62,-0.076,0.045,0.553
125.8,-0.08,0.045,0.554
130.91,-0.091,0.054,0.631
131.9,-0.09,0.053,0.633
131.27,-0.09,0.052,0.636
131.45,-0.091,0.051,0.641
131.63,-0.092,0.052,0.644
131.82,-0.087,0.053,0.649
132.0,-0.087,0.054,0.65
132.18,-0.087,0.057,0.656
132.36,-0.089,0.061,0.657
132.55,-0.09,0.061,0.657
132.73,-0.089,0.064,0.658
132.91,-0.091,0.067,0.661
133.9,-0.095,0.069,0.664
133.27,-0.097,0.068,0.667
133.46,-0.099,0.068,0.671
133.64,-0.099,0.069,0.672
133.82,-0.093,0.069,0.676
134.0,-0.095,0.071,0.681
134.19,-0.096,0.071,0.681
134.37,-0.098,0.069,0.686
134.55,-0.098,0.068,0.69
134.73,-0.1,0.07,0.693
134.92,-0.102,0.073,0.696
135.1,-0.105,0.077,0.696
135.28,-0.107,0.073,0.705
135.46,-0.105,0.076,0.703
135.64,-0.104,0.078,0.71
135.83,-0.104,0.077,0.71
136.1,-0.104,0.08,0.713
136.19,-0.102,0.079,0.712
136.37,-0.102,0.08,0.713
136.56,-0.102,0.081,0.712
136.74,-0.101,0.085,0.716
141.11,-0.114,0.103,0.757
141.3,-0.115,0.106,0.757
141.48,-0.119,0.105,0.764
141.66,-0.12,0.109,0.767
141.84,-0.12,0.109,0.768
142.2,-0.12,0.111,0.768
142.21,-0.117,0.109,0.772
142.39,-0.115,0.108,0.773
142.57,-0.114,0.108,0.776
142.75,-0.114,0.107,0.776
142.94,-0.113,0.107,0.777
143.12,-0.113,0.109,0.779
143.3,-0.113,0.107,0.778
143.48,-0.111,0.106,0.78
143.66,-0.11,0.108,0.783
143.85,-0.11,0.106,0.784
144.3,-0.109,0.104,0.788
144.21,-0.108,0.102,0.79
144.39,-0.109,0.101,0.792
147.49,-0.115,0.099,0.836
147.68,-0.113,0.098,0.841
147.86,-0.115,0.098,0.844
148.4,-0.112,0.102,0.849
148.22,-0.111,0.102,0.852
148.4,-0.107,0.103,0.855
148.59,-0.107,0.104,0.858
148.77,-0.109,0.104,0.86
148.95,-0.11,0.107,0.859
149.13,-0.111,0.107,0.86
149.32,-0.11,0.105,0.862
149.5,-0.108,0.108,0.863
149.68,-0.11,0.11,0.866
149.86,-0.113,0.109,0.866
150.4,-0.111,0.11,0.866
150.23,-0.111,0.111,0.87
150.41,-0.108,0.11,0.876
150.59,-0.107,0.114,0.879
150.77,-0.103,0.114,0.884
150.96,-0.101,0.117,0.885
151.14,-0.101,0.12,0.887
151.32,-0.1,0.121,0.889
151.5,-0.101,0.124,0.895
151.69,-0.099,0.125,0.902
151.87,-0.098,0.126,0.909
152.5,-0.099,0.125,0.908
152.23,-0.099,0.125,0.908
152.41,-0.099,0.129,0.909
152.6,-0.099,0.134,0.909
152.78,-0.099,0.135,0.913
152.96,-0.097,0.137,0.917
153.14,-0.099,0.137,0.92
153.33,-0.099,0.139,0.923
153.51,-0.101,0.139,0.924
153.69,-0.103,0.14,0.928
153.87,-0.105,0.136,0.932
154.6,-0.103,0.136,0.935
154.24,-0.099,0.138,0.937
154.42,-0.099,0.14,0.942
154.6,-0.1,0.139,0.945
154.78,-0.101,0.137,0.951
154.97,-0.101,0.138,0.952
155.15,-0.1,0.142,0.953
155.33,-0.099,0.143,0.957
155.51,-0.099,0.14,0.956
155.7,-0.098,0.139,0.962
155.88,-0.101,0.139,0.971
156.6,-0.102,0.137,0.963
156.24,-0.1,0.143,0.973
156.43,-0.1,0.136,0.971
156.61,-0.102,0.142,0.979
156.79,-0.1,0.14,0.977
156.97,-0.1,0.138,0.98
157.15,-0.1,0.14,0.981
157.34,-0.101,0.138,0.983
157.52,-0.102,0.14,0.987
157.7,-0.101,0.142,0.987
157.88,-0.099,0.141,0.992
158.7,-0.099,0.141,0.994
158.25,-0.101,0.143,0.999
158.43,-0.099,0.141,1.003
158.61,-0.098,0.142,1.005
158.79,-0.095,0.139,1.005
158.98,-0.096,0.139,1.007
159.16,-0.097,0.14,1.008
159.34,-0.097,0.14,1.01
159.52,-0.1,0.138,1.013
166.63,-0.104,0.169,1.125
166.82,-0.104,0.171,1.131
167.0,-0.103,0.17,1.133
167.18,-0.101,0.17,1.136
167.36,-0.099,0.169,1.137
167.54,-0.1,0.17,1.143
167.73,-0.096,0.173,1.144
167.91,-0.097,0.172,1.145
