timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
550.79,-49.0,967.0,-119.0,0.349,-0.769,-0.629
553.89,-53.0,968.0,-120.0,0.699,-0.91,-0.629
555.9,-54.0,968.0,-119.0,0.419,-0.769,-0.56
559.91,-53.0,968.0,-118.0,0.28,-0.769,-0.56
563.1,-55.0,969.0,-118.0,0.28,-0.839,-0.56
564.83,-54.0,968.0,-125.0,0.419,-0.98,-0.629
569.2,-45.0,967.0,-124.0,0.14,-0.91,-0.699
571.2,-50.0,966.0,-118.0,0.699,-0.56,-0.629
572.3,-53.0,967.0,-120.0,0.56,-0.839,-0.49
573.39,-52.0,969.0,-118.0,0.49,-0.769,-0.56
574.67,-52.0,967.0,-118.0,0.419,-0.769,-0.56
575.95,-50.0,966.0,-118.0,0.209,-0.699,-0.56
577.4,-51.0,967.0,-117.0,0.49,-0.839,-0.56
578.5,-53.0,968.0,-118.0,0.349,-0.769,-0.629
580.14,-48.0,969.0,-116.0,0.49,-0.91,-0.56
581.23,-50.0,966.0,-118.0,0.49,-0.91,-0.349
581.41,-56.0,969.0,-119.0,0.419,-0.769,-0.699
584.88,-52.0,968.0,-119.0,0.49,-0.769,-0.629
585.97,-53.0,967.0,-119.0,0.419,-0.629,-0.56
587.61,-52.0,968.0,-119.0,0.349,-0.699,-0.629
588.89,-50.0,967.0,-118.0,0.419,-0.699,-0.56
590.89,-52.0,968.0,-120.0,0.419,-0.699,-0.56
591.98,-52.0,967.0,-119.0,0.419,-0.769,-0.629
592.17,-50.0,967.0,-119.0,0.49,-0.769,-0.629
595.27,-50.0,968.0,-120.0,0.419,-0.769,-0.49
596.36,-52.0,968.0,-119.0,0.419,-0.699,-0.629
596.54,-51.0,967.0,-119.0,0.419,-0.699,-0.56
599.64,-54.0,967.0,-118.0,0.28,-0.769,-0.56
602.19,-52.0,967.0,-119.0,0.419,-0.699,-0.629
603.28,-51.0,967.0,-114.0,0.349,-0.769,-0.629
604.93,-51.0,967.0,-118.0,0.209,-0.699,-0.629
606.93,-54.0,968.0,-119.0,0.349,-0.49,-0.699
608.21,-53.0,968.0,-120.0,0.419,-0.839,-0.56
609.85,-51.0,968.0,-121.0,0.49,-0.699,-0.56
611.12,-51.0,967.0,-118.0,0.419,-0.699,-0.49
613.67,-54.0,968.0,-119.0,0.419,-0.629,-0.49
615.31,-53.0,967.0,-118.0,0.419,-0.699,-0.56
616.95,-54.0,967.0,-119.0,0.349,-0.699,-0.56
619.87,-50.0,967.0,-117.0,0.49,-0.769,-0.49
621.33,-51.0,967.0,-121.0,0.56,-0.769,-0.699
622.97,-51.0,968.0,-121.0,0.209,-0.699,-0.56
625.15,-52.0,966.0,-117.0,0.349,-0.91,-0.49
626.25,-52.0,967.0,-118.0,0.419,-0.56,-0.49
628.7,-52.0,966.0,-120.0,0.56,-0.699,-0.56
