timestamp,pitch,yaw,roll
117.6,-0.001,0.078,-0.0
117.78,0.0,0.08,0.0
117.96,-0.006,0.083,-0.011
118.15,-0.009,0.083,0.006
118.33,-0.008,0.079,0.0
118.51,-0.011,0.08,0.011
118.69,-0.015,0.081,-0.011
118.88,-0.013,0.082,-0.001
119.6,-0.016,0.082,-0.003
122.7,-0.001,0.072,0.0
122.88,-0.012,0.072,-0.008
123.7,-0.013,0.069,0.006
123.25,-0.015,0.069,0.002
123.43,-0.022,0.071,-0.0
123.61,-0.022,0.068,0.001
123.8,-0.02,0.067,-0.005
123.98,-0.027,0.066,0.008
124.16,-0.017,0.069,-0.001
124.34,-0.022,0.073,-0.008
124.53,-0.015,0.07,-0.001
124.71,-0.013,0.07,-0.002
124.89,-0.014,0.072,-0.004
125.7,-0.021,0.071,-0.011
125.25,-0.019,0.069,-0.008
125.44,-0.016,0.07,-0.011
125.62,-0.008,0.069,-0.008
125.8,-0.003,0.068,-0.005
130.91,-0.007,0.076,0.009
131.9,-0.015,0.074,-0.0
131.27,-0.017,0.074,0.0
131.45,-0.016,0.072,-0.0
131.63,-0.013,0.075,0.015
131.82,-0.02,0.074,-0.008
132.0,-0.024,0.076,0.008
132.18,-0.026,0.078,-0.005
132.36,-0.017,0.083,-0.001
132.55,-0.031,0.083,0.003
132.73,-0.024,0.085,0.004
132.91,-0.026,0.088,-0.009
133.9,-0.021,0.089,0.006
133.27,-0.015,0.088,0.001
133.46,-0.027,0.088,-0.012
133.64,-0.036,0.089,0.0
133.82,-0.034,0.086,0.001
134.0,-0.013,0.087,0.002
134.19,-0.016,0.086,-0.003
134.37,0.0,0.083,-0.001
134.55,0.001,0.08,-0.001
134.73,0.004,0.083,-0.002
134.92,0.01,0.086,-0.002
135.1,-0.013,0.091,-0.016
135.28,0.0,0.085,0.009
135.46,0.01,0.091,-0.01
135.64,-0.008,0.091,-0.013
135.83,-0.0,0.088,-0.002
136.1,-0.001,0.09,-0.012
136.19,0.007,0.088,0.005
136.37,-0.004,0.087,-0.003
136.56,-0.014,0.087,-0.005
136.74,-0.009,0.091,0.004
141.11,-0.003,0.087,-0.008
141.3,0.023,0.092,0.027
141.48,0.018,0.092,-0.004
141.66,0.025,0.095,0.007
141.84,0.025,0.094,0.016
142.2,0.02,0.095,0.004
142.21,0.021,0.092,0.015
142.39,0.008,0.09,0.013
142.57,0.012,0.088,0.007
142.75,0.008,0.086,0.002
142.94,0.017,0.085,0.009
143.12,0.006,0.086,0.013
143.3,0.004,0.084,0.009
143.48,-0.003,0.082,0.019
143.66,0.007,0.084,0.008
143.85,0.008,0.082,0.011
144.3,0.017,0.078,0.01
144.21,0.017,0.077,0.017
144.39,0.015,0.076,0.014
147.49,0.003,0.076,0.001
147.68,0.005,0.075,0.009
147.86,0.009,0.076,0.001
148.4,0.011,0.079,0.016
148.22,0.001,0.08,0.015
148.4,-0.0,0.079,0.019
148.59,0.006,0.081,0.008
148.77,-0.007,0.083,0.007
148.95,-0.007,0.087,0.0
149.13,-0.006,0.085,0.002
149.32,-0.009,0.084,0.014
149.5,-0.011,0.087,0.013
149.68,-0.008,0.088,0.01
149.86,-0.009,0.088,0.012
150.4,-0.005,0.088,0.014
150.23,-0.003,0.088,0.023
150.41,-0.001,0.086,0.02
150.59,-0.004,0.088,0.016
150.77,-0.004,0.087,0.013
150.96,-0.009,0.089,0.007
151.14,-0.01,0.093,0.007
151.32,-0.008,0.093,0.009
151.5,-0.001,0.096,0.002
151.69,0.001,0.095,0.008
151.87,-0.007,0.094,0.012
152.5,-0.038,0.092,0.015
152.23,-0.059,0.091,0.005
152.41,-0.067,0.095,0.008
152.6,-0.064,0.097,0.003
152.78,-0.068,0.098,0.003
152.96,-0.081,0.098,0.003
153.14,-0.089,0.096,-0.002
153.33,-0.087,0.097,-0.001
153.51,-0.081,0.095,0.002
153.69,-0.066,0.096,-0.001
153.87,-0.05,0.089,0.005
154.6,-0.042,0.087,-0.004
154.24,-0.032,0.088,-0.0
154.42,-0.019,0.089,-0.002
154.6,-0.02,0.085,-0.003
154.78,-0.021,0.083,-0.003
154.97,-0.029,0.084,-0.004
155.15,-0.026,0.088,0.005
155.33,-0.038,0.088,-0.008
155.51,-0.035,0.085,0.005
155.7,-0.046,0.084,-0.014
155.88,-0.066,0.082,0.048
156.6,-0.009,0.088,-0.015
156.24,-0.05,0.104,0.0
156.43,-0.014,0.098,0.026
156.61,-0.006,0.106,-0.003
156.79,0.002,0.104,0.016
156.97,-0.0,0.102,-0.005
157.15,-0.001,0.103,0.006
157.34,-0.014,0.102,-0.003
157.52,-0.025,0.103,-0.003
157.7,-0.042,0.105,-0.007
157.88,-0.043,0.104,0.005
158.7,-0.045,0.104,0.003
158.25,-0.064,0.105,-0.0
158.43,-0.087,0.103,-0.007
158.61,-0.1,0.104,0.0
158.79,-0.099,0.1,-0.001
158.98,-0.081,0.1,0.003
159.16,-0.069,0.102,0.001
159.34,-0.052,0.102,0.01
159.52,-0.044,0.1,0.004
166.63,-0.046,0.107,0.012
166.82,-0.063,0.109,0.0
