timestamp,altitude,azimuth,zenith,state
58067.28,3.14,30.033,2.587,MONITORING
58067.46,3.151,30.033,2.587,MONITORING
58067.64,3.143,30.033,2.587,MONITORING
58067.83,3.154,30.032,2.592,MONITORING
58068.1,3.145,30.029,2.588,MONITORING
58068.19,3.164,30.027,2.593,MONITORING
58068.37,3.154,30.026,2.59,MONITORING
58068.56,3.174,30.024,2.589,MONITORING
58068.74,3.165,30.026,2.586,MONITORING
58068.92,3.187,30.027,2.586,MONITORING
58069.1,3.187,30.028,2.592,MONITORING
58069.28,3.191,30.027,2.587,MONITORING
58069.47,3.181,30.031,2.583,MONITORING
58069.65,3.177,30.032,2.587,MONITORING
58069.83,3.171,30.034,2.588,MONITORING
58070.1,3.176,30.037,2.587,MONITORING
58070.2,3.17,30.037,2.593,MONITORING
58070.38,3.173,30.037,2.589,MONITORING
58070.56,3.176,30.034,2.596,MONITORING
58070.74,3.191,30.036,2.585,MONITORING
58070.93,3.184,30.036,2.586,MONITORING
58071.11,3.19,30.037,2.583,MONITORING
58071.29,3.173,30.035,2.583,MONITORING
58071.47,3.186,30.036,2.586,MONITORING
58072.93,3.181,30.036,2.583,MONITORING
58073.11,3.18,30.036,2.587,MONITORING
58073.3,3.178,30.035,2.585,MONITORING
58073.48,3.184,30.035,2.584,MONITORING
58073.66,3.184,30.035,2.584,MONITORING
58073.84,3.174,30.039,2.586,MONITORING
58074.2,3.177,30.04,2.583,MONITORING
58074.21,3.157,30.043,2.589,MONITORING
58074.39,3.148,30.042,2.578,MONITORING
58074.57,3.15,30.038,2.589,MONITORING
58074.75,3.157,30.037,2.59,MONITORING
58074.94,3.151,30.038,2.592,MONITORING
58075.12,3.168,30.036,2.592,MONITORING
58075.3,3.173,30.036,2.585,MONITORING
58075.48,3.186,30.038,2.592,MONITORING
58075.66,3.184,30.038,2.589,MONITORING
58075.85,3.179,30.04,2.59,MONITORING
58076.3,3.17,30.042,2.583,MONITORING
58076.21,3.163,30.04,2.587,MONITORING
58076.39,3.16,30.039,2.582,MONITORING
58076.58,3.167,30.042,2.589,MONITORING
58076.76,3.17,30.044,2.586,MONITORING
58076.94,3.203,30.042,2.583,MONITORING
58077.12,3.185,30.043,2.592,MONITORING
58077.3,3.197,30.042,2.58,MONITORING
58077.49,3.198,30.047,2.586,MONITORING
58077.67,3.217,30.043,2.582,MONITORING
58077.85,3.221,30.041,2.579,MONITORING
58078.3,3.235,179.903,2.578,CALIBRATING
58078.22,3.235,179.903,2.578,CALIBRATING
58078.4,3.235,179.903,2.578,CALIBRATING
58078.58,3.235,179.903,2.578,CALIBRATING
58081.13,3.235,179.903,2.578,CALIBRATING
58081.31,3.235,179.903,2.578,CALIBRATING
58081.5,3.235,179.903,2.578,CALIBRATING
58081.68,3.235,179.903,2.578,CALIBRATING
58081.86,3.235,179.903,2.578,CALIBRATING
58082.4,3.235,179.903,2.578,CALIBRATING
58082.23,3.235,179.903,2.578,CALIBRATING
58082.41,3.235,179.903,2.578,CALIBRATING
58082.59,3.235,179.903,2.578,CALIBRATING
58082.77,3.235,179.903,2.578,CALIBRATING
58082.95,3.235,179.903,2.578,CALIBRATING
58083.14,3.235,179.903,2.578,CALIBRATING
58083.32,3.235,179.903,2.578,CALIBRATING
58083.5,3.235,179.903,2.578,CALIBRATING
58083.68,3.235,179.903,2.578,CALIBRATING
58083.87,3.235,179.903,2.578,CALIBRATING
58084.5,3.235,179.903,2.578,CALIBRATING
58084.23,3.235,179.903,2.578,CALIBRATING
58084.41,3.235,179.903,2.578,CALIBRATING
58084.59,3.235,179.903,2.578,CALIBRATING
58084.78,3.235,179.903,2.578,CALIBRATING
58084.96,3.235,179.903,2.578,CALIBRATING
58085.14,3.235,179.903,2.578,CALIBRATING
58085.32,3.235,179.903,2.578,CALIBRATING
58085.51,3.235,179.903,2.578,CALIBRATING
58085.69,3.235,179.903,2.578,CALIBRATING
58085.87,3.235,179.903,2.578,CALIBRATING
58086.5,3.235,179.903,2.578,CALIBRATING
58086.23,3.235,179.903,2.578,CALIBRATING
58086.42,3.235,179.903,2.578,CALIBRATING
58086.6,3.235,179.903,2.578,CALIBRATING
58086.78,3.235,179.903,2.578,CALIBRATING
58086.96,3.235,179.903,2.578,CALIBRATING
58087.15,3.235,179.903,2.578,CALIBRATING
58087.33,3.235,179.903,2.578,CALIBRATING
58087.51,3.235,179.903,2.578,STARTUP
