timestamp,qx,qy,qz,qw
58020.62,-0.098,0.017,0.262,0.959
58020.8,-0.098,0.017,0.262,0.959
58020.98,-0.098,0.016,0.262,0.959
58021.16,-0.098,0.016,0.262,0.959
58021.34,-0.098,0.016,0.262,0.959
58021.53,-0.098,0.016,0.262,0.959
58021.71,-0.098,0.016,0.262,0.959
58021.89,-0.098,0.017,0.262,0.959
58027.54,-0.098,0.016,0.262,0.959
58027.72,-0.098,0.016,0.261,0.959
58027.91,-0.098,0.016,0.261,0.959
58028.9,-0.098,0.017,0.261,0.959
58028.27,-0.098,0.017,0.261,0.959
58028.45,-0.098,0.016,0.261,0.959
58028.64,-0.098,0.017,0.261,0.959
58028.82,-0.098,0.016,0.261,0.959
58029.0,-0.098,0.016,0.261,0.959
58031.55,-0.098,0.016,0.262,0.959
58031.73,-0.098,0.016,0.262,0.959
58031.92,-0.098,0.016,0.262,0.959
58032.1,-0.098,0.016,0.261,0.959
58032.28,-0.098,0.016,0.262,0.959
58032.46,-0.098,0.016,0.262,0.959
58032.65,-0.098,0.017,0.262,0.959
58032.83,-0.098,0.016,0.262,0.959
58033.1,-0.098,0.016,0.262,0.959
58033.19,-0.098,0.016,0.262,0.959
58033.37,-0.098,0.016,0.262,0.959
58033.56,-0.098,0.017,0.262,0.959
58034.65,-0.098,0.016,0.262,0.959
58034.83,-0.098,0.016,0.262,0.959
58035.2,-0.099,0.016,0.262,0.959
58035.2,-0.098,0.016,0.262,0.959
58036.47,-0.098,0.017,0.262,0.959
58036.66,-0.098,0.016,0.262,0.959
58036.84,-0.098,0.017,0.262,0.959
58037.2,-0.098,0.017,0.262,0.959
58037.2,-0.098,0.017,0.262,0.959
58037.38,-0.098,0.016,0.262,0.959
58037.57,-0.098,0.016,0.262,0.959
58037.75,-0.099,0.016,0.262,0.959
58037.93,-0.098,0.016,0.262,0.959
58038.11,-0.099,0.016,0.262,0.959
58042.49,-0.098,0.016,0.262,0.959
58042.67,-0.098,0.016,0.262,0.959
58042.85,-0.098,0.016,0.262,0.959
58043.4,-0.098,0.016,0.262,0.959
58043.22,-0.099,0.017,0.262,0.959
58043.4,-0.098,0.016,0.262,0.959
58043.58,-0.098,0.016,0.262,0.959
58043.76,-0.098,0.016,0.261,0.959
58043.95,-0.098,0.017,0.261,0.959
58044.13,-0.098,0.016,0.261,0.959
58044.31,-0.098,0.016,0.261,0.959
58044.49,-0.098,0.016,0.261,0.959
58044.68,-0.098,0.016,0.261,0.959
58044.86,-0.098,0.016,0.261,0.959
58045.4,-0.098,0.017,0.261,0.959
58045.22,-0.098,0.016,0.261,0.959
58045.41,-0.098,0.017,0.261,0.959
58045.59,-0.098,0.016,0.261,0.959
58045.77,-0.098,0.017,0.261,0.959
58045.95,-0.098,0.017,0.261,0.959
58046.13,-0.098,0.016,0.261,0.959
58046.32,-0.098,0.017,0.261,0.959
58046.5,-0.098,0.017,0.261,0.959
58046.68,-0.098,0.017,0.261,0.959
58046.86,-0.098,0.017,0.262,0.959
