timestamp,pitch,yaw,roll
117.42,0.013,-0.045,0.034
117.6,0.009,-0.046,-0.002
117.78,-0.016,-0.047,-0.007
117.96,0.037,-0.051,0.022
118.15,-0.011,-0.052,0.021
118.33,0.018,-0.052,0.013
118.51,-0.038,-0.052,0.01
118.69,0.028,-0.054,0.027
118.88,-0.011,-0.055,0.022
119.6,-0.003,-0.056,0.025
122.7,-0.003,-0.054,-0.005
122.88,0.001,-0.053,0.022
123.7,0.009,-0.052,0.02
123.25,-0.015,-0.051,0.027
123.43,0.021,-0.052,0.029
123.61,-0.003,-0.051,0.038
123.8,0.012,-0.051,0.016
123.98,-0.019,-0.049,0.042
124.16,0.011,-0.05,0.011
124.34,0.015,-0.053,0.028
124.53,0.011,-0.051,0.016
124.71,0.007,-0.049,0.02
124.89,0.005,-0.05,0.018
125.7,0.006,-0.048,0.034
125.25,0.012,-0.047,0.032
125.44,0.008,-0.047,0.022
125.62,-0.001,-0.044,0.015
125.8,-0.004,-0.045,0.008
130.91,-0.045,-0.054,0.012
131.9,0.005,-0.053,0.025
131.27,-0.003,-0.052,0.03
131.45,0.01,-0.051,0.025
131.63,-0.047,-0.052,0.022
131.82,0.038,-0.053,0.037
132.0,-0.018,-0.054,0.027
132.18,0.015,-0.057,0.038
132.36,0.0,-0.061,0.024
132.55,-0.014,-0.061,0.046
132.73,-0.01,-0.064,0.027
132.91,0.02,-0.067,0.034
133.9,-0.027,-0.069,0.028
133.27,-0.008,-0.068,0.024
133.46,0.021,-0.068,0.048
133.64,-0.011,-0.069,0.051
133.82,-0.0,-0.069,0.034
134.0,-0.002,-0.071,-0.001
134.19,0.006,-0.071,0.013
134.37,-0.001,-0.069,-0.003
134.55,0.002,-0.069,0.005
134.73,0.01,-0.07,0.008
134.92,-0.002,-0.073,-0.016
135.1,0.035,-0.077,0.035
135.28,-0.017,-0.073,0.02
135.46,0.005,-0.077,-0.02
135.64,0.031,-0.077,0.036
135.83,-0.003,-0.077,-0.008
136.1,0.022,-0.08,0.009
136.19,-0.004,-0.079,-0.008
136.37,0.007,-0.08,0.016
136.56,0.005,-0.081,0.028
136.74,-0.008,-0.085,0.024
141.11,0.02,-0.103,0.001
141.3,-0.046,-0.105,-0.043
141.48,0.008,-0.106,-0.001
141.66,-0.003,-0.109,-0.017
141.84,-0.026,-0.109,-0.02
142.2,0.009,-0.111,-0.011
142.21,-0.013,-0.109,-0.01
142.39,-0.006,-0.109,0.009
142.57,0.0,-0.108,-0.006
142.75,-0.001,-0.107,0.0
142.94,-0.01,-0.107,-0.02
143.12,-0.02,-0.109,0.018
143.3,-0.008,-0.107,0.005
143.48,-0.021,-0.106,0.017
143.66,0.006,-0.108,-0.013
143.85,-0.007,-0.106,-0.012
144.3,-0.007,-0.104,-0.02
144.21,-0.02,-0.102,-0.012
144.39,-0.011,-0.101,-0.001
147.49,0.007,-0.099,0.005
147.68,-0.02,-0.098,0.004
147.86,0.008,-0.098,-0.002
148.4,-0.03,-0.102,-0.0
148.22,-0.013,-0.102,0.015
148.4,-0.006,-0.103,0.014
148.59,0.003,-0.104,-0.0
148.77,-0.004,-0.104,0.028
148.95,0.0,-0.107,0.009
149.13,0.0,-0.107,0.01
149.32,-0.022,-0.105,0.018
149.5,-0.006,-0.108,0.013
149.68,-0.009,-0.109,0.014
149.86,-0.017,-0.109,0.019
150.4,-0.015,-0.11,-0.002
150.23,-0.03,-0.11,0.009
150.41,-0.012,-0.11,0.01
150.59,-0.006,-0.114,0.012
150.77,-0.006,-0.114,0.022
150.96,-0.007,-0.117,0.017
151.14,-0.007,-0.12,0.014
151.32,-0.018,-0.121,0.012
151.5,0.014,-0.124,0.007
151.69,-0.015,-0.125,0.014
151.87,-0.015,-0.126,0.03
152.5,-0.022,-0.125,0.073
152.23,-0.0,-0.126,0.086
152.41,-0.01,-0.129,0.069
152.6,0.006,-0.134,0.061
152.78,-0.001,-0.135,0.077
152.96,-0.005,-0.137,0.096
153.14,0.002,-0.137,0.103
153.33,-0.003,-0.139,0.091
153.51,-0.01,-0.139,0.075
153.69,0.003,-0.14,0.061
153.87,-0.018,-0.136,0.044
154.6,0.012,-0.136,0.043
154.24,0.003,-0.138,0.03
154.42,0.003,-0.14,0.016
154.6,0.012,-0.139,0.022
154.78,0.007,-0.137,0.03
154.97,0.001,-0.138,0.042
155.15,-0.01,-0.142,0.024
155.33,0.02,-0.143,0.056
155.51,-0.036,-0.14,0.038
155.7,0.038,-0.139,0.066
155.88,-0.122,-0.139,0.12
156.6,0.013,-0.138,-0.041
156.24,0.026,-0.142,0.089
156.43,-0.06,-0.137,-0.0
156.61,0.007,-0.142,0.005
156.79,-0.02,-0.139,-0.004
156.97,0.029,-0.138,0.016
157.15,-0.017,-0.14,0.009
157.34,0.004,-0.138,0.031
157.52,0.004,-0.14,0.045
157.7,0.017,-0.142,0.062
157.88,-0.014,-0.141,0.054
158.7,-0.005,-0.141,0.051
158.25,-0.003,-0.143,0.101
158.43,0.007,-0.141,0.121
158.61,-0.004,-0.142,0.116
158.79,0.004,-0.139,0.097
158.98,-0.016,-0.139,0.061
159.16,-0.008,-0.14,0.058
159.34,-0.022,-0.14,0.038
