timestamp,pitch,yaw,roll
415.94,1.039,0.637,4.47
416.13,1.035,0.64,4.472
416.31,1.033,0.64,4.476
416.49,1.034,0.639,4.479
416.67,1.034,0.639,4.483
416.85,1.036,0.642,4.488
417.4,1.037,0.644,4.488
417.22,1.037,0.644,4.492
417.4,1.036,0.644,4.499
424.51,1.047,0.673,4.582
429.43,1.062,0.66,4.642
429.61,1.081,0.655,4.67
433.62,1.083,0.655,4.693
438.72,1.083,0.668,4.774
447.29,1.108,0.66,4.911
452.2,1.11,0.673,4.988
456.76,1.117,0.691,5.054
460.41,1.13,0.689,5.1
472.61,1.154,0.722,5.27
475.71,1.161,0.736,5.312
477.72,1.159,0.74,5.326
480.9,1.17,0.75,5.373
483.37,1.17,0.764,5.435
486.83,1.176,0.767,5.466
490.11,1.186,0.779,5.506
497.94,1.194,0.813,5.594
505.42,1.189,0.838,5.677
510.34,1.196,0.864,5.741
514.89,1.207,0.871,5.804
521.27,1.198,0.9,5.875
529.29,1.198,0.931,5.973
536.3,1.203,0.936,6.055
550.61,1.211,0.974,6.251
555.72,1.23,0.977,6.322
559.72,1.23,0.978,6.372
564.65,1.251,0.967,6.446
581.23,19.055,0.008,86.33
591.98,36.33,0.007,164.63
596.36,43.374,0.006,179.97
610.94,66.849,0.007,180.024
616.77,76.24,0.007,179.893
