timestamp,altitude,azimuth,zenith,state
13.51,0.432,12.544,5.265,MONITORING
13.69,0.439,12.542,5.233,MONITORING
13.87,0.411,12.537,5.268,MONITORING
14.5,0.406,12.538,5.263,MONITORING
14.24,0.396,12.536,5.266,MONITORING
14.42,0.407,12.538,5.261,MONITORING
14.6,0.423,12.538,5.244,MONITORING
14.78,0.436,12.537,5.236,MONITORING
14.97,0.454,12.536,5.226,MONITORING
15.15,0.46,12.533,5.23,MONITORING
15.33,0.46,12.533,5.24,MONITORING
15.51,0.458,12.531,5.237,MONITORING
15.69,0.442,12.532,5.254,MONITORING
15.88,0.423,12.529,5.268,MONITORING
16.6,0.438,12.532,5.229,MONITORING
16.24,0.434,12.528,5.249,MONITORING
16.42,0.438,12.53,5.24,MONITORING
16.61,0.449,12.529,5.237,MONITORING
16.79,0.445,12.528,5.24,MONITORING
16.97,0.444,12.529,5.246,MONITORING
17.15,0.423,12.524,5.279,MONITORING
17.34,0.435,12.523,5.243,MONITORING
17.52,0.424,12.524,5.262,MONITORING
17.7,0.432,12.528,5.239,MONITORING
17.88,0.429,12.527,5.248,MONITORING
18.6,0.426,12.528,5.253,MONITORING
18.25,0.444,12.526,5.23,MONITORING
18.43,0.424,12.526,5.262,MONITORING
18.61,0.428,12.528,5.245,MONITORING
18.79,0.423,12.526,5.258,MONITORING
18.98,0.432,12.523,5.234,MONITORING
19.16,0.415,12.524,5.265,MONITORING
19.34,0.441,12.52,5.229,MONITORING
19.52,0.413,12.522,5.269,MONITORING
19.71,0.429,12.524,5.243,MONITORING
19.89,0.417,12.524,5.267,MONITORING
20.7,0.45,12.524,5.221,MONITORING
20.25,0.433,12.521,5.257,MONITORING
20.43,0.447,12.521,5.228,MONITORING
20.62,0.42,12.52,5.286,MONITORING
20.8,0.46,12.52,5.208,MONITORING
20.98,0.418,12.525,5.291,MONITORING
21.16,0.468,12.542,5.212,MONITORING
21.35,0.441,12.54,5.256,MONITORING
21.53,0.444,12.548,5.254,MONITORING
22.62,0.416,12.526,5.26,MONITORING
22.8,0.423,12.528,5.251,MONITORING
22.99,0.412,12.526,5.265,MONITORING
23.17,0.418,12.523,5.243,MONITORING
23.35,0.407,12.525,5.282,MONITORING
23.53,0.415,12.521,5.247,MONITORING
23.72,0.421,12.522,5.271,MONITORING
23.9,0.424,12.521,5.247,MONITORING
24.8,0.43,12.519,5.245,MONITORING
24.26,0.431,12.517,5.24,MONITORING
24.45,0.452,12.516,5.222,MONITORING
27.73,0.399,12.502,5.269,MONITORING
27.91,0.397,12.502,5.279,MONITORING
28.9,0.383,12.498,5.287,MONITORING
28.27,0.393,12.498,5.274,MONITORING
28.46,0.391,12.496,5.28,MONITORING
28.64,0.408,12.498,5.25,MONITORING
28.82,0.409,12.501,5.254,MONITORING
29.0,0.422,12.503,5.244,MONITORING
29.19,0.42,12.504,5.262,MONITORING
29.37,0.428,12.502,5.244,MONITORING
29.55,0.433,12.501,5.243,MONITORING
29.73,0.452,12.502,5.225,MONITORING
29.92,0.443,12.501,5.248,MONITORING
30.1,0.451,12.503,5.233,MONITORING
30.28,0.453,12.5,5.236,MONITORING
30.46,0.447,12.497,5.242,MONITORING
30.64,0.447,12.495,5.237,MONITORING
30.83,0.445,12.496,5.237,MONITORING
31.1,0.447,12.496,5.24,MONITORING
31.19,0.448,12.496,5.237,MONITORING
31.37,0.45,12.493,5.239,MONITORING
31.56,0.453,12.493,5.228,MONITORING
31.74,0.451,12.49,5.235,MONITORING
31.92,0.46,12.49,5.23,MONITORING
32.1,0.459,12.492,5.234,MONITORING
32.29,0.452,12.493,5.237,MONITORING
32.47,0.452,12.494,5.24,MONITORING
32.65,0.449,12.491,5.241,MONITORING
33.56,0.418,12.492,5.259,MONITORING
33.74,0.414,12.491,5.259,MONITORING
33.93,0.42,12.491,5.249,MONITORING
34.11,0.418,12.49,5.256,MONITORING
34.29,0.429,12.485,5.243,MONITORING
34.47,0.433,12.484,5.245,MONITORING
34.66,0.429,12.484,5.252,MONITORING
34.84,0.429,12.485,5.248,MONITORING
35.2,0.43,12.484,5.245,MONITORING
35.2,0.441,12.483,5.235,MONITORING
35.38,0.464,12.482,5.214,MONITORING
35.57,0.476,12.481,5.221,MONITORING
35.75,0.481,12.481,5.225,MONITORING
35.93,0.479,12.477,5.229,MONITORING
36.11,0.484,12.474,5.216,MONITORING
36.3,0.474,12.471,5.233,MONITORING
36.48,0.479,12.471,5.228,MONITORING
36.66,0.477,12.473,5.227,MONITORING
36.84,0.482,12.47,5.225,MONITORING
37.3,0.477,12.467,5.234,MONITORING
37.21,0.466,12.471,5.242,MONITORING
37.39,0.459,12.471,5.242,MONITORING
37.57,0.462,12.47,5.234,MONITORING
37.75,0.465,12.474,5.234,MONITORING
37.94,0.465,12.473,5.231,MONITORING
38.12,0.47,12.472,5.227,MONITORING
38.3,0.477,12.471,5.225,MONITORING
38.48,0.467,12.469,5.234,MONITORING
38.67,0.473,12.466,5.227,MONITORING
38.85,0.468,12.464,5.231,MONITORING
39.3,0.466,12.463,5.236,MONITORING
39.21,0.467,12.46,5.234,MONITORING
39.39,0.464,12.461,5.226,MONITORING
39.58,0.463,12.457,5.241,MONITORING
39.76,0.459,12.456,5.228,MONITORING
39.94,0.453,12.456,5.238,MONITORING
40.12,0.458,12.454,5.232,MONITORING
40.31,0.456,12.452,5.237,MONITORING
40.49,0.461,12.453,5.232,MONITORING
