timestamp,pitch,yaw,roll
5644.75,0.369,-1.73,2.525
5648.94,0.382,-1.764,2.521
5649.12,0.363,-1.765,2.535
5649.3,0.362,-1.767,2.528
5649.49,0.427,-1.766,2.565
5649.67,0.343,-1.769,2.524
5649.85,0.372,-1.769,2.547
5650.3,0.381,-1.77,2.552
5650.21,0.387,-1.772,2.557
5651.49,0.389,-1.773,2.523
5651.67,0.358,-1.775,2.554
5651.86,0.39,-1.774,2.521
5652.4,0.36,-1.774,2.544
5652.22,0.398,-1.776,2.534
5652.4,0.355,-1.78,2.529
5652.59,0.386,-1.783,2.531
5652.77,0.363,-1.784,2.533
5652.95,0.389,-1.785,2.528
5653.13,0.371,-1.787,2.522
5653.31,0.376,-1.789,2.537
5653.5,0.372,-1.793,2.491
5653.68,0.367,-1.794,2.537
5653.86,0.378,-1.797,2.522
5654.4,0.347,-1.797,2.535
5654.41,0.355,-1.799,2.519
5654.59,0.403,-1.799,2.527
5654.77,0.381,-1.802,2.515
5654.96,0.373,-1.803,2.554
5655.14,0.379,-1.805,2.524
5655.32,0.352,-1.803,2.55
5655.5,0.402,-1.803,2.534
5655.68,0.364,-1.801,2.557
5655.87,0.389,-1.802,2.536
5656.5,0.363,-1.805,2.539
5656.23,0.374,-1.804,2.524
5656.41,0.352,-1.807,2.519
5656.6,0.375,-1.812,2.517
5656.96,0.361,-1.813,2.495
5657.14,0.347,-1.816,2.543
5657.33,0.409,-1.816,2.507
5657.51,0.361,-1.818,2.523
5657.69,0.375,-1.819,2.497
5657.87,0.357,-1.817,2.538
5658.5,0.383,-1.817,2.534
5658.24,0.381,-1.818,2.527
5658.42,0.378,-1.82,2.498
5658.6,0.372,-1.818,2.533
5658.78,0.378,-1.818,2.534
5662.25,0.374,-1.846,2.532
5662.43,0.374,-1.847,2.542
5662.61,0.384,-1.848,2.559
5662.79,0.36,-1.848,2.58
5662.98,0.411,-1.851,2.592
5663.16,0.359,-1.85,2.6
5663.34,0.4,-1.85,2.572
5663.52,0.352,-1.85,2.585
5663.71,0.4,-1.849,2.566
5666.44,0.376,-1.854,2.55
5666.62,0.401,-1.854,2.56
5666.81,0.367,-1.853,2.532
5666.99,0.375,-1.856,2.547
5667.17,0.382,-1.858,2.539
5667.35,0.412,-1.858,2.562
5667.53,0.354,-1.862,2.584
5667.72,0.388,-1.862,2.57
5667.9,0.37,-1.86,2.574
5668.8,0.359,-1.858,2.534
5668.26,0.39,-1.858,2.58
5668.45,0.351,-1.858,2.56
5668.63,0.369,-1.859,2.544
5668.81,0.381,-1.857,2.543
5668.99,0.395,-1.857,2.545
5669.18,0.362,-1.857,2.499
5669.36,0.381,-1.853,2.495
5669.54,0.386,-1.851,2.519
5669.72,0.389,-1.853,2.534
5669.9,0.364,-1.855,2.489
5670.9,0.374,-1.857,2.486
5670.27,0.395,-1.854,2.538
5670.45,0.379,-1.854,2.505
5670.63,0.375,-1.856,2.514
5670.82,0.358,-1.859,2.495
5671.91,0.355,-1.868,2.556
5672.9,0.349,-1.872,2.599
5672.27,0.379,-1.873,2.566
5672.46,0.367,-1.879,2.562
5672.64,0.363,-1.881,2.557
5672.82,0.382,-1.884,2.549
5673.0,0.363,-1.887,2.556
5673.19,0.384,-1.887,2.58
5673.37,0.384,-1.886,2.57
5673.55,0.361,-1.884,2.56
5673.73,0.38,-1.884,2.522
5673.91,0.36,-1.885,2.504
5674.1,0.377,-1.884,2.507
5674.28,0.365,-1.884,2.535
5674.64,0.375,-1.887,2.521
5674.83,0.37,-1.891,2.574
5675.1,0.402,-1.894,2.563
5675.19,0.364,-1.896,2.522
5675.37,0.366,-1.896,2.566
5676.1,0.368,-1.896,2.547
5676.28,0.403,-1.894,2.546
5676.47,0.352,-1.899,2.508
5676.65,0.379,-1.9,2.551
5678.29,0.392,-1.91,2.537
5679.2,0.373,-1.922,2.528
5679.38,0.364,-1.921,2.547
5679.57,0.403,-1.922,2.552
5680.84,0.379,-1.929,2.583
5681.2,0.36,-1.93,2.551
5681.21,0.391,-1.933,2.549
5681.39,0.383,-1.936,2.524
5681.57,0.34,-1.935,2.536
5681.75,0.368,-1.935,2.536
5681.94,0.37,-1.936,2.531
5682.12,0.368,-1.936,2.522
5682.3,0.369,-1.935,2.554
5682.48,0.36,-1.937,2.538
5682.66,0.388,-1.936,2.536
5682.85,0.378,-1.933,2.557
5683.3,0.398,-1.934,2.526
5683.21,0.361,-1.937,2.535
5683.39,0.365,-1.937,2.551
5683.58,0.409,-1.937,2.544
5683.76,0.359,-1.938,2.557
5683.94,0.365,-1.939,2.52
5684.12,0.362,-1.939,2.542
