timestamp,pitch,yaw,roll
415.94,0.002,0.637,0.005
416.13,0.001,0.64,0.006
416.31,0.001,0.64,0.016
416.49,0.002,0.639,0.0
416.67,0.003,0.639,0.011
416.85,0.002,0.642,0.0
417.4,0.006,0.644,0.077
417.22,0.024,0.644,0.002
417.4,0.003,0.644,0.035
424.51,0.003,0.673,0.002
429.43,0.009,0.66,0.001
431.61,0.002,0.655,0.003
433.62,0.018,0.655,0.0
436.9,0.0,0.655,0.0
438.72,0.01,0.667,0.002
447.29,0.014,0.66,0.002
452.2,0.021,0.673,0.0
456.76,0.0,0.69,0.003
460.41,0.003,0.689,0.009
472.61,0.007,0.723,0.007
475.71,0.0,0.736,0.005
477.72,0.0,0.74,0.003
480.9,0.01,0.75,0.009
484.46,0.005,0.765,0.0
486.83,0.004,0.767,0.0
490.11,0.007,0.779,0.005
493.57,0.001,0.79,0.017
497.94,0.005,0.813,0.0
505.42,0.003,0.838,0.006
510.34,0.023,0.864,0.001
514.89,0.012,0.871,0.009
521.27,0.036,0.9,0.007
529.29,0.009,0.931,0.001
536.3,0.004,0.935,0.006
550.61,0.002,0.975,0.002
555.72,0.0,0.977,0.0
559.72,0.02,0.978,0.03
564.65,0.049,0.968,0.005
569.2,0.007,0.981,0.002
581.23,0.137,0.006,0.538
591.98,0.111,0.005,0.534
596.36,0.125,0.005,0.549
599.46,0.135,0.006,0.56
610.94,0.121,0.005,0.559
616.77,0.121,0.005,0.53
622.79,0.134,0.005,0.518
