angle_bin,count,mean,median,max,std
"(-0.001, 1.0]",12,104.47073559229966,91.73551227772901,278.33106858741456,82.01955330040661
"(1.0, 2.0]",0,,,,
"(2.0, 5.0]",0,,,,
"(5.0, 10.0]",0,,,,
"(10.0, 20.0]",0,,,,
"(20.0, 30.0]",0,,,,
"(30.0, 45.0]",0,,,,
"(45.0, 90.0]",0,,,,
