test_id,axis,expected_angle,measured_angle,error_deg,error_percent,max_dps,mean_dps,duration_s
0,pitch,0.0,191.43541401768505,191.43541401768505,191435.41401768505,490.0,173.60832036224707,67.95192307692965
1,pitch,0.0,27.321876238717948,27.321876238717948,27321.87623871795,50820.0,177.21163490471415,67.1057692307756
2,pitch,0.0,278.33106858741456,278.33106858741456,278331.0685874145,50890.0,177.3820417500715,67.25000000000641
3,pitch,0.0,50.66303286962673,50.66303286962673,50663.03286962673,50960.0,241.1740151317506,36.85576923076873
4,pitch,0.0,138.68992419742784,138.68992419742784,138689.92419742784,50890.0,182.72509960159363,36.20192307692243
5,pitch,0.0,59.18325148209418,59.18325148209418,59183.25148209417,50890.0,181.4721723518851,37.49038461538426
6,pitch,0.0,181.990160704234,181.990160704234,181990.160704234,50890.0,319.2374350086655,38.83653846153841
7,pitch,0.0,119.14093766825468,119.14093766825468,119140.93766825467,50960.0,178.99735513344555,39.990384615384826
8,pitch,0.0,105.5589537519246,105.5589537519246,105558.95375192461,50890.0,197.75238095238095,35.336538461537614
9,pitch,0.0,11.983564833566135,11.983564833566135,11983.564833566135,50820.0,189.9607072691552,34.25961538461429
10,pitch,0.0,77.91207080353342,77.91207080353342,77912.07080353342,50890.0,236.79759099240638,36.721153846153314
11,pitch,0.0,11.438571953116735,11.438571953116735,11438.571953116736,50960.0,194.6995539228549,36.64423076923022
